,"time (days)","time_years"
0,0,0
1,20,0.054794520547945
2,40,0.10958904109589
3,60,0.164383561643836
4,80,0.219178082191781
5,100,0.273972602739726
6,120,0.328767123287671
7,140,0.383561643835616
8,160,0.438356164383562
9,180,0.493150684931507
10,200,0.547945205479452
11,220,0.602739726027397
12,240,0.657534246575342
13,260,0.712328767123288
14,280,0.767123287671233
15,300,0.821917808219178
16,320,0.876712328767123
17,340,0.931506849315068
18,360,0.986301369863014
19,380,1.04109589041096
20,400,1.0958904109589
21,420,1.15068493150685
22,440,1.20547945205479
23,460,1.26027397260274
24,480,1.31506849315068
25,500,1.36986301369863
26,520,1.42465753424658
27,540,1.47945205479452
28,560,1.53424657534247
29,580,1.58904109589041
30,600,1.64383561643836
31,620,1.6986301369863
32,640,1.75342465753425
33,660,1.80821917808219
34,680,1.86301369863014
35,700,1.91780821917808
36,720,1.97260273972603
37,740,2.02739726027397
38,760,2.08219178082192
39,780,2.13698630136986
40,800,2.19178082191781
41,820,2.24657534246575
42,840,2.3013698630137
43,860,2.35616438356164
44,880,2.41095890410959
45,900,2.46575342465753
46,920,2.52054794520548
47,940,2.57534246575342
48,960,2.63013698630137
49,980,2.68493150684932
50,1000,2.73972602739726
51,1020,2.79452054794521
52,1040,2.84931506849315
53,1060,2.9041095890411
54,1080,2.95890410958904
55,1100,3.01369863013699
56,1120,3.06849315068493
57,1140,3.12328767123288
58,1160,3.17808219178082
59,1180,3.23287671232877
60,1200,3.28767123287671
61,1220,3.34246575342466
62,1240,3.3972602739726
63,1260,3.45205479452055
64,1280,3.50684931506849
65,1300,3.56164383561644
66,1320,3.61643835616438
67,1340,3.67123287671233
68,1360,3.72602739726027
69,1380,3.78082191780822
70,1400,3.83561643835616
71,1420,3.89041095890411
72,1440,3.94520547945205
73,1460,4
74,1480,4.05479452054795
75,1500,4.10958904109589
76,1520,4.16438356164384
77,1540,4.21917808219178
78,1560,4.27397260273973
79,1580,4.32876712328767
80,1600,4.38356164383562
81,1620,4.43835616438356
82,1640,4.49315068493151
83,1660,4.54794520547945
84,1680,4.6027397260274
85,1700,4.65753424657534
86,1720,4.71232876712329
87,1740,4.76712328767123
88,1760,4.82191780821918
89,1780,4.87671232876712
90,1800,4.93150684931507
91,1820,4.98630136986301
92,1840,5.04109589041096
93,1860,5.0958904109589
94,1880,5.15068493150685
95,1900,5.2054794520548
96,1920,5.26027397260274
97,1940,5.31506849315069
98,1960,5.36986301369863
99,1980,5.42465753424658
100,2000,5.47945205479452
101,2020,5.53424657534247
102,2040,5.58904109589041
103,2060,5.64383561643836
104,2080,5.6986301369863
105,2100,5.75342465753425
106,2120,5.80821917808219
107,2140,5.86301369863014
108,2160,5.91780821917808
109,2180,5.97260273972603
110,2200,6.02739726027397
111,2220,6.08219178082192
112,2240,6.13698630136986
113,2260,6.19178082191781
114,2280,6.24657534246575
115,2300,6.3013698630137
116,2320,6.35616438356164
117,2340,6.41095890410959
118,2360,6.46575342465753
119,2380,6.52054794520548
120,2400,6.57534246575342
121,2420,6.63013698630137
122,2440,6.68493150684932
123,2460,6.73972602739726
124,2480,6.79452054794521
125,2500,6.84931506849315
126,2520,6.9041095890411
127,2540,6.95890410958904
128,2560,7.01369863013699
129,2580,7.06849315068493
130,2600,7.12328767123288
131,2620,7.17808219178082
132,2640,7.23287671232877
133,2660,7.28767123287671
134,2680,7.34246575342466
135,2700,7.3972602739726
136,2720,7.45205479452055
137,2740,7.50684931506849
138,2760,7.56164383561644
139,2780,7.61643835616438
140,2800,7.67123287671233
141,2820,7.72602739726027
142,2840,7.78082191780822
143,2860,7.83561643835616
144,2880,7.89041095890411
145,2900,7.94520547945205
146,2920,8
147,2940,8.05479452054795
148,2960,8.10958904109589
149,2980,8.16438356164384
150,3000,8.21917808219178
151,3020,8.27397260273973
152,3040,8.32876712328767
153,3060,8.38356164383562
154,3080,8.43835616438356
155,3100,8.49315068493151
156,3120,8.54794520547945
157,3140,8.6027397260274
158,3160,8.65753424657534
159,3180,8.71232876712329
160,3200,8.76712328767123
161,3220,8.82191780821918
162,3240,8.87671232876712
163,3260,8.93150684931507
164,3280,8.98630136986301
165,3300,9.04109589041096
166,3320,9.09589041095891
167,3340,9.15068493150685
168,3360,9.20547945205479
169,3380,9.26027397260274
170,3400,9.31506849315069
171,3420,9.36986301369863
172,3440,9.42465753424658
173,3460,9.47945205479452
174,3480,9.53424657534247
175,3500,9.58904109589041
176,3520,9.64383561643836
177,3540,9.6986301369863
178,3560,9.75342465753425
179,3580,9.80821917808219
180,3600,9.86301369863014
181,3620,9.91780821917808
182,3640,9.97260273972603
183,3660,10.027397260274
184,3680,10.0821917808219
185,3700,10.1369863013699
186,3720,10.1917808219178
187,3740,10.2465753424658
188,3760,10.3013698630137
189,3780,10.3561643835616
190,3800,10.4109589041096
191,3820,10.4657534246575
192,3840,10.5205479452055
193,3860,10.5753424657534
194,3880,10.6301369863014
195,3900,10.6849315068493
196,3920,10.7397260273973
197,3940,10.7945205479452
198,3960,10.8493150684932
199,3980,10.9041095890411
200,4000,10.958904109589
201,4020,11.013698630137
202,4040,11.0684931506849
203,4060,11.1232876712329
204,4080,11.1780821917808
205,4100,11.2328767123288
206,4120,11.2876712328767
207,4140,11.3424657534247
208,4160,11.3972602739726
209,4180,11.4520547945205
210,4200,11.5068493150685
211,4220,11.5616438356164
212,4240,11.6164383561644
213,4260,11.6712328767123
214,4280,11.7260273972603
215,4300,11.7808219178082
216,4320,11.8356164383562
217,4340,11.8904109589041
218,4360,11.9452054794521
219,4380,12
