,Distance,1D_1yr,1D_2yr,1D_5yr,1D_10yr,1D_20yr
98,81.0194,0.31162,0.32492,0.34027,0.34893,0.35358
99,81.8464,0.3111,0.3245,0.34003,0.34883,0.35355
100,82.6724,0.31059,0.32408,0.33979,0.34873,0.35353
101,83.4994,0.31008,0.32367,0.33956,0.34863,0.3535
102,84.3264,0.30956,0.32325,0.33932,0.34852,0.35348
103,85.1534,0.30905,0.32283,0.33909,0.34842,0.35346
104,85.9794,0.30854,0.32242,0.33885,0.34832,0.35343
105,86.8064,0.30803,0.322,0.33862,0.34822,0.35341
106,87.6334,0.30751,0.32158,0.33838,0.34811,0.35338
107,88.4604,0.30701,0.32117,0.33815,0.34801,0.35336
108,89.2864,0.30651,0.32076,0.33792,0.34791,0.35333
109,90.1134,0.30601,0.32035,0.33769,0.34781,0.35331
110,90.9404,0.30551,0.31993,0.33745,0.34771,0.35329
111,91.7674,0.30502,0.31953,0.33722,0.34761,0.35326
112,92.5894,0.30456,0.31914,0.337,0.34751,0.35324
113,93.4194,0.30415,0.31876,0.33677,0.34741,0.35322
114,94.2494,0.30371,0.31837,0.33653,0.3473,0.35319
115,95.0694,0.30327,0.31796,0.33628,0.34719,0.35316
116,95.8994,0.30282,0.31756,0.33604,0.34708,0.35314
117,96.7294,0.30238,0.31715,0.33579,0.34697,0.35311
118,97.5494,0.30194,0.31676,0.33554,0.34686,0.35308
119,98.3794,0.3015,0.31636,0.3353,0.34675,0.35305
120,99.2094,0.30107,0.31596,0.33505,0.34663,0.35303
121,100.0294,0.30063,0.31555,0.3348,0.34652,0.353
122,100.8594,0.30019,0.31515,0.33455,0.3464,0.35297
123,101.6894,0.29975,0.31474,0.3343,0.34629,0.35294
124,102.5094,0.29931,0.31434,0.33404,0.34618,0.35292
125,103.3394,0.29887,0.31394,0.33379,0.34606,0.35289
126,104.1694,0.29843,0.31353,0.33354,0.34595,0.35286
127,104.9994,0.29799,0.31313,0.33329,0.34584,0.35283
128,105.8194,0.29755,0.31272,0.33304,0.34572,0.35281
129,106.6494,0.29711,0.31232,0.33279,0.34561,0.35278
130,107.4794,0.29667,0.31192,0.33254,0.3455,0.35275
131,108.2994,0.29623,0.31151,0.33229,0.34538,0.35272
132,109.1294,0.29579,0.31111,0.33204,0.34527,0.3527
133,109.9594,0.29535,0.3107,0.33179,0.34515,0.35267
134,110.7794,0.29491,0.3103,0.33154,0.34504,0.35264
