"","(Intercept)","lnfO2","XFo","T_i","P_Pa","T_i:P_Pa"
"(Intercept)",3.23909781874242,0.00394323922982214,-0.678808849146587,-3680.51039678914,-1.94956354613448e-10,2.68546039329982e-07
"lnfO2",0.00394323922982214,0.00347810091754163,0.002784587490056,119.28822156565,-4.0328467747652e-12,-2.03960098719852e-09
"XFo",-0.678808849146587,0.002784587490056,0.323011631927977,726.306288511926,2.81952079772358e-11,-5.3690017575469e-08
"T_i",-3680.51039678914,119.28822156565,726.306288511926,8787975.0418876,9.60676117507748e-08,-0.00039878531957198
"P_Pa",-1.94956354613448e-10,-4.0328467747652e-12,2.81952079772358e-11,9.60676117507748e-08,2.83349563026499e-19,-4.64960532776102e-16
"T_i:P_Pa",2.68546039329982e-07,-2.03960098719852e-09,-5.3690017575469e-08,-0.00039878531957198,-4.64960532776102e-16,7.86972428160841e-13
