"","(Intercept)","lnfO2","lnaSiO2","T_i"
"(Intercept)",21.4856594030681,0.0450673552130351,0.200794677961206,-34195.9016311543
"lnfO2",0.0450673552130351,0.00103674598519602,0.00108026074487224,-57.8403097031357
"lnaSiO2",0.200794677961206,0.00108026074487224,0.0226846145307037,-221.166029353618
"T_i",-34195.9016311543,-57.8403097031357,-221.166029353618,55135552.7586891
