"","(Intercept)","lnfO2","lnaSiO2","T_i"
"(Intercept)",6.09147555926196,0.0046841103351481,0.0500946657327513,-9812.57551228311
"lnfO2",0.0046841103351481,0.000133225885263336,6.49692626413953e-05,-4.7258323253643
"lnaSiO2",0.0500946657327513,6.49692626413953e-05,0.00776304656000876,-46.4574183809125
"T_i",-9812.57551228311,-4.7258323253643,-46.4574183809125,16061862.0217955
