"","(Intercept)","lnfO2","XFo","T_i"
"(Intercept)",30.2772446374849,0.307554234356081,-21.7969515152859,390.099216660609
"lnfO2",0.307554234356081,0.00714447490370571,-0.144492886468097,95.0278557953904
"XFo",-21.7969515152859,-0.144492886468097,18.9810832856121,-529.963965916624
"T_i",390.099216660609,95.0278557953904,-529.963965916624,4270819.93709962
