,t,T,lnfO2,P,Ea,C0,C1,b1,Profile
907,1.4785480883166453,1207.6802248279153,-18.772149391355693,0.678152452124969,184661.78812932657,0.8595900742521865,0.8663916012522286,7.061807470991799,Ol5B_lg
908,8.090322312542126,1219.89118180997,-17.79050615115293,0.9730304821545803,207173.23256051174,0.8597759106871115,0.8663996770285193,4.337622959959133,Ol5B_lg
909,21.276405977162852,1212.204256804205,-17.735041021118256,0.9227099382111646,217915.95397659685,0.8598858782678713,0.8663720977705118,5.7820433439521715,Ol5B_lg
910,5.201247472910822,1194.731199039969,-19.804406505731237,0.7412991852733709,189256.38954640547,0.8593381242097283,0.8664804965481504,2.34295515056195,Ol5B_lg
911,1.0800286743632816,1214.5680454507371,-18.92562193918406,0.7103823480187231,181848.0200615766,0.8597282377278729,0.8663706415431907,7.212393740507795,Ol5B_lg
912,22.40940220087052,1235.3725496102124,-17.987871817685352,0.8166872907623017,220817.700969647,0.8590810410306847,0.8664289664386637,4.004608283071302,Ol5B_lg
913,22.40940220087052,1235.3725496102124,-17.987871817685352,0.8166872907623017,220817.700969647,0.8590810410306847,0.8664289664386637,4.004608283071302,Ol5B_lg
914,1.3894947662287696,1229.5844036221172,-18.790394032957266,0.7446053212291067,187444.47343339125,0.8592906851821491,0.8663890266496608,4.844308700987808,Ol5B_lg
915,25.148236901196967,1218.5678344704763,-18.298132868446622,0.7374059558290285,216261.30212532933,0.8597293401478249,0.8663349683841628,1.160822928295528,Ol5B_lg
916,1.1126558457710292,1226.72334355898,-18.724804546572642,0.8513033828790635,182831.42246843825,0.8597867144095301,0.8664080972865248,5.0380881935546755,Ol5B_lg
917,1.1126558457710292,1226.72334355898,-18.724804546572642,0.8513033828790635,182831.42246843825,0.8597867144095301,0.8664080972865248,5.0380881935546755,Ol5B_lg
918,9.715130163310574,1214.418650796729,-18.26403071425678,0.8521583261097146,201528.5827124588,0.8596090946965181,0.8664261543407639,1.1421000592924682,Ol5B_lg
919,1.9150544378739132,1223.2015851922656,-18.822340804750066,0.685274992250062,186026.96824936566,0.8593341075365654,0.8663887357347622,5.1322152928259435,Ol5B_lg
920,1.9150544378739132,1223.2015851922656,-18.822340804750066,0.685274992250062,186026.96824936566,0.8593341075365654,0.8663887357347622,5.1322152928259435,Ol5B_lg
921,2.273677454998628,1227.331449104189,-17.83601808344668,0.9069300138132839,193006.50336316644,0.8597881626423804,0.8663786596654054,4.870728336821406,Ol5B_lg
922,13.420958514020139,1216.5743301838475,-19.436249913403927,0.6407955497209866,207110.15646563,0.8591518049683801,0.8665160980002466,2.693649163020707,Ol5B_lg
923,13.420958514020139,1216.5743301838475,-19.436249913403927,0.6407955497209866,207110.15646563,0.8591518049683801,0.8665160980002466,2.693649163020707,Ol5B_lg
924,16.61756559805889,1201.2829058578304,-17.95068882813323,0.7690775187236095,208072.45004964553,0.859818739656024,0.8665156857912799,3.8683716517518034,Ol5B_lg
925,1.166064017412992,1221.1021067101594,-19.204496228906972,0.7370284308057117,185636.6722545598,0.8596396018023597,0.8664513768961439,6.211967111885333,Ol5B_lg
926,1.999674775095217,1211.7226753565174,-18.266320716331425,0.7853766896666672,187746.44691321638,0.8597650781614772,0.8663442521118857,4.787664949988632,Ol5B_lg
927,76.4251157452799,1201.5862764873434,-18.58696888777494,0.6477373036646049,228651.52495221572,0.859207014110452,0.8665286062879309,2.7796197160591385,Ol5B_lg
928,2.36905226847594,1215.0945614487016,-18.50282671007066,0.7079899000552601,190920.0844127644,0.8591785884923588,0.8663640086415357,4.9541908421517595,Ol5B_lg
929,1.9324087665727383,1194.6971366211674,-17.772740432745103,0.7714479663589023,185876.9299152907,0.8592702329170829,0.86639445257445,5.45373895727865,Ol5B_lg
930,21.463015244279084,1218.203074976773,-18.486194718853213,0.6225748530880076,220442.1113233684,0.8592774499028947,0.8664414966735589,6.711935642325757,Ol5B_lg
931,14.593688338550683,1182.6209778907273,-17.334257196141106,0.6941453754019805,210428.45456431643,0.8592612696414963,0.8664145854912673,3.054962453807445,Ol5B_lg
932,7.96385764965778,1207.0971363392553,-19.232838032883198,0.8740918422000772,201647.28241314998,0.8592557340882961,0.8664949042118177,5.693240398386878,Ol5B_lg
933,19.174293018772598,1198.826731485152,-18.578825103209766,0.8602217848735829,216812.34956767436,0.8597825984696151,0.8664317300271257,6.08076061484064,Ol5B_lg
