Nested Sampling Global Log-Evidence           :   -0.352480120724969215E+01  +/-    0.874171388009691297E-01

Dim No.       Mean        Sigma
   1    0.183096747236361954E-02    0.512485330988166911E-03
   2    0.120995412159458692E+04    0.116978874085373281E+02
   3    0.903873811353196241E-03    0.946593108142675148E-04
   4    0.888358160358015851E+02    0.937298646355426701E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.157003493133801939E-02
   2    0.120997932775814320E+04
   3    0.862363469181662377E-03
   4    0.907617230518393114E+02

MAP Parameters
Dim No.        Parameter
   1    0.233038238917389123E-02
   2    0.120933261858867741E+04
   3    0.948113864256562144E-03
   4    0.870282732741963088E+02
