,P_MPa,H2O_liq,H2O_MI
0,74.0,0.495386623403255,0.495386623403255
1,73.0,0.495299098988961,0.4954096103298728
2,72.0,0.495209143373191,0.49542318675255786
3,71.0,0.495116652279378,0.49542793522639633
4,70.0,0.495021515264268,0.4954243802367401
5,69.0,0.49492361525447,0.49541299254585797
6,68.0,0.494822828040615,0.49539419313295585
7,67.0,0.49471902172528,0.4953683567580425
8,66.0,0.494612056114813,0.49533581517696723
9,65.0,0.494501782062963,0.49529686003260304
10,64.0,0.494388040737346,0.4952517454440974
11,63.0,0.494270662823564,0.4952006903137491
12,62.0,0.494149467644617,0.4951438803690381
13,61.0,0.494024262192273,0.49508146995481844
14,60.0,0.493894840056645,0.4950135835886757
15,59.0,0.493760980242861,0.4949403172903194
16,58.0,0.49362244586096,0.49486173969390934
17,57.0,0.493478982671528,0.49477789295013597
18,56.0,0.493330317469463,0.4946887934228265
19,55.0,0.493176156284747,0.4945944321828091
20,54.0,0.493016182372094,0.4944947752994487
21,53.0,0.492850053968119,0.49438976392816736
22,52.0,0.492677401775476,0.4942793141897572
23,51.0,0.492497826135281,0.4941633168343162
24,50.0,0.49231089385053,0.49404163668004686
25,49.0,0.492116134604179,0.49391411181399864
26,48.0,0.491913036900555,0.4937805525375224
27,47.0,0.491701043474712,0.493640740035347
28,46.0,0.491479546064175,0.49349442474209987
29,45.0,0.491247879471996,0.49334132437491707
30,44.0,0.49100531474729,0.493181121592931
31,43.0,0.490751051405808,0.49301346123732065
32,42.0,0.490484208456185,0.4928379470960913
33,41.0,0.490203814074889,0.49265413812611464
34,40.0,0.489908793621058,0.4924615440507496
35,39.0,0.489597955753186,0.49225962023534403
36,38.0,0.489269976188542,0.49204776172138154
37,37.0,0.488923378793644,0.4918252962778897
38,36.0,0.488556513224489,0.49159147629374755
39,35.0,0.4881675286547,0.49134546929761874
40,34.0,0.487754342530328,0.4910863468449545
41,33.0,0.487314603420181,0.4908130714498019
42,32.0,0.486845646473946,0.49052448116340014
43,31.0,0.486344439820339,0.49021927130186843
44,30.0,0.485807519665291,0.48989597270159146
45,29.0,0.485230911235071,0.4895529257175589
46,28.0,0.484610031908661,0.48918824897036983
47,27.0,0.483939571580552,0.4887998015661964
48,26.0,0.483213344105337,0.48838513715153875
49,25.0,0.482424101108814,0.48794144767192354
50,24.0,0.481563296978489,0.4874654940405721
51,23.0,0.480620789504324,0.48695352002537373
52,22.0,0.479584455075706,0.4864011444210476
53,21.0,0.478439689021738,0.4858032248467837
54,20.0,0.477168750206116,0.4851536840891467
55,19.0,0.475749891028065,0.4844452864420221
56,18.0,0.474156189129483,0.4836693465040826
57,17.0,0.472353957849829,0.4828153455973723
58,16.0,0.47030055398477,0.4818704201371523
59,15.0,0.467941310538803,0.4808186700138666
60,14.0,0.465205180473993,0.4796402102633975
61,13.0,0.46199845428849,0.47830985109175284
62,12.0,0.458195561382179,0.47679523183453487
63,11.0,0.453625409988255,0.4750541413485886
64,10.0,0.448050865953531,0.47303061218297227
65,9.0,0.441137726134398,0.47064915385157546
66,8.0,0.43240795483696,0.4678061673341201
67,7.0,0.421170574905689,0.4643571625318036
68,6.0,0.406424138962151,0.4600979834240665
69,5.0,0.386729483313111,0.4547380952110661
70,4.0,0.360053758794867,0.4478641429199659
71,3.0,0.323527780171187,0.4388896344621399
72,2.0,0.272690177686074,0.42696587255874274
73,1.0,0.197745058650064,0.4107054886686644
74,0.5,0.141187721878248,0.40030748788107823
75,0.1,0.063516469443982,0.3899905737893375
