,"t","T","lnfO2","P","C0","C1","b1","lnD0_Fo","clnfO2_Fo","cXFo_Fo","cT_i_Fo","cP_Fo","cT_iP_Fo","Profile"
0,0.546809397143331,1207.29495847269,-18.5776961168171,0.398049394178599,0.851940575543449,0.847977211103126,3.61086345203345,-6.83129372931294,0.22145161058721,-7.19126922822065,-26733.511004388,-4.91561069408924E-10,-1.41963447853363E-07,"Ol1A"
0,24.6693080790157,1207.56698316304,-18.6424832932652,0.394222247215405,0.850745008861055,0.843543526423538,30.7227339012982,-6.79456097525481,0.221505778344962,-7.16939433073966,-26783.225322364,-4.76408738607779E-10,-1.68370976699151E-07,"Ol2B"
0,3.41071973002023,1210.45618805395,-18.3497259351917,0.747025699455742,0.859492214373066,0.866440007759388,4.45427541736471,-6.82032580866216,0.224021883915313,-7.14951047135414,-26731.6338671344,-5.38173522184429E-10,-8.508914448058E-08,"Ol5B_lg"
0,11.8458344487982,1222.75802871335,-18.1128362276789,0.734152087318138,0.864725547379869,0.895262753742164,9.46114338307925,-6.96452202517954,0.222577971023509,-7.0439830277208,-26667.2557751683,-4.5948600498596E-10,-2.13396593676072E-07,"Ol13A"
