,P_MPa,H2O_liq,H2O_MI
0,74.0,0.593163953371439,0.593163953371439
1,73.0,0.593035042645905,0.5931641837231305
2,72.0,0.592902498136841,0.5931595132694054
3,71.0,0.592766160754304,0.5931499863582278
4,70.0,0.592625861825235,0.5931356395438878
5,69.0,0.592481422354618,0.5931165015059343
6,68.0,0.592332652223297,0.593092592942289
7,67.0,0.592179349310719,0.5930639264349179
8,66.0,0.592021298532402,0.5930305062860795
9,65.0,0.591858270785229,0.5929923283229317
10,64.0,0.591690021786464,0.5929493796679624
11,63.0,0.591516290797412,0.5929016384723722
12,62.0,0.591336799214758,0.5928490736091582
13,61.0,0.591151249021699,0.5927916443223036
14,60.0,0.590959321052026,0.5927292998275768
15,59.0,0.590760673116652,0.5926619788606968
16,58.0,0.590554937862653,0.5925896091672102
17,57.0,0.590341720437066,0.5925121069276277
18,56.0,0.590120595876284,0.5924293761114341
19,55.0,0.589891106172526,0.5923413077514333
20,54.0,0.589652757026663,0.5922477791295118
21,53.0,0.589405014183385,0.5921486528634111
22,52.0,0.589147299329715,0.5920437758822279
23,51.0,0.588878985470063,0.591932978276812
24,50.0,0.588599391738157,0.5918160720094009
25,49.0,0.588307777487073,0.5916928494636636
26,48.0,0.588003335601174,0.5915630818130433
27,47.0,0.587685184941041,0.5914265171833895
28,46.0,0.587352361723336,0.5912828785813644
29,45.0,0.587003809586614,0.5911318615527889
30,44.0,0.586638368322538,0.5909731315314792
31,43.0,0.586254760875398,0.5908063208326512
32,42.0,0.585851578345614,0.5906310252343587
33,41.0,0.58542726264755,0.5904468000810403
34,40.0,0.584980086404139,0.5902531558313278
35,39.0,0.584508129491806,0.5900495529563504
36,38.0,0.58400925165205,0.5898353960763831
37,37.0,0.583481060263677,0.5896100271998996
38,36.0,0.582920872463802,0.589372717902081
39,35.0,0.582325670208232,0.5891226602441548
40,34.0,0.581692046862383,0.5888589561896547
41,33.0,0.581016143366542,0.5885806052196682
42,32.0,0.580293571580121,0.5882864897787328
43,31.0,0.579519321650104,0.5879753580927202
44,30.0,0.578687649717311,0.5876458037890423
45,29.0,0.577791940538132,0.5872962415998199
46,28.0,0.576824538846349,0.5869248782383316
47,27.0,0.575776540704581,0.5865296772929776
48,26.0,0.574637533689649,0.5861083166529821
49,25.0,0.573395271014964,0.5856581365469701
50,24.0,0.572035259766339,0.5851760756960649
51,23.0,0.570540236307786,0.5846585922992455
52,22.0,0.568889492770209,0.58410156550914
53,21.0,0.567058004556777,0.5835001716022503
54,20.0,0.565015290325017,0.5828487270391398
55,19.0,0.56272390889099,0.5821404878228097
56,18.0,0.560137459496676,0.5813673906602628
57,17.0,0.557197897856409,0.5805197159477916
58,16.0,0.553831903990342,0.5795856448733034
59,15.0,0.549945932009064,0.5785506720710587
60,14.0,0.545419428873607,0.5773968201415568
61,13.0,0.540095528674607,0.5761015817252644
62,12.0,0.533768329642614,0.5746364878547203
63,11.0,0.526165713633309,0.5729651688851579
64,10.0,0.516926749622516,0.5710407419455124
65,9.0,0.505573381465092,0.5688023417618735
66,8.0,0.491477793448197,0.5661706396212527
67,7.0,0.473829508191565,0.5630423039134631
68,6.0,0.45160719692216,0.5592835267654118
69,5.0,0.423549963643061,0.5547227281460143
70,4.0,0.388081487712497,0.5491415598979298
71,3.0,0.34302946600417,0.5422595060506767
72,2.0,0.284644927784052,0.5336952162281304
73,1.0,0.203535750507325,0.5228337707511354
74,0.5,0.144367902132183,0.5162408060601328
75,0.1,0.064554640660714,0.510004076795514
