"T_C","P_kbar","fe3_fet","time_days","C0","C1","step_microns","lnfO2_bar"
1208,0.4,0,0.1,0.8515,0.847,0.1,-18.59
15,0.1,0,10000,0.8525,0.849,20,0.5
