,t,median,stdev,t (days),Probability density,Cumulative probability,T,lnfO2,P,Ea,C0,C1,b1,Profile
38,0.981623887,,,29,6.06024E-21,-100,1201.840507,-18.75684148,0.336302725,211980.1788,0.852032728,0.848092349,3.004071457,Ol1A
39,7.306300441,,,30,2.41657E-22,-100,1228.102414,-18.32567204,0.442263599,230569.8086,0.851984798,0.848004304,7.98114055,Ol1A
40,1.096700169,,,31,8.61094E-24,-100,1199.970393,-18.50448451,0.442265773,208818.514,0.851953485,0.84793608,1.716920357,Ol1A
41,3.402032661,,,32,2.74184E-25,-100,1193.714818,-19.13865393,0.29141148,203591.3605,0.852000095,0.847972315,3.988184928,Ol1A
42,0.316643234,,,33,7.80146E-27,-100,1204.100963,-18.15270438,0.34882737,197020.362,0.852316624,0.848122173,2.758279643,Ol1A
43,9.065783534,,,34,1.98358E-28,-100,1215.009891,-18.23390244,0.410366626,220993.1293,0.851779411,0.847931679,6.128020117,Ol1A
44,0.105597015,,,35,4.50679E-30,-100,1188.784643,-18.37681308,0.38931791,183383.8295,0.852050872,0.848122437,6.937010196,Ol1A
45,2.156725169,,,36,9.15007E-32,-100,1195.733466,-19.03386469,0.459688818,199124.9776,0.852004933,0.848078214,0.328674063,Ol1A
46,0.567231741,,,37,1.66006E-33,-100,1194.660077,-18.88307186,0.352120917,195586.0438,0.852345876,0.847828768,5.936289112,Ol1A
47,0.615230245,,,38,2.69131E-35,-100,1185.048894,-18.9818255,0.355654726,202130.9432,0.851666406,0.848114159,7.716375882,Ol1A
48,2.863269536,,,39,3.89893E-37,-100,1194.234115,-18.4325707,0.448962347,207152.8627,0.852439595,0.847928546,3.988150025,Ol1A
49,2.608541629,,,40,5.0474E-39,-100,1168.081251,-19.03625364,0.387333121,215195.3564,0.851993916,0.847924972,2.672188468,Ol1A
50,1.366582806,,,41,5.83891E-41,-100,1196.787089,-18.83100846,0.214040197,203108.2286,0.852036338,0.848155588,4.669046165,Ol1A
51,0.420675171,,,42,6.03584E-43,-100,1207.518558,-18.03726365,0.491742148,201232.9743,0.852283247,0.847916886,3.073330141,Ol1A
52,0.231763121,,,43,5.57551E-45,-100,1194.281129,-18.43295363,0.35934306,195412.6432,0.852082214,0.848135636,6.306184992,Ol1A
53,0.138332348,,,44,4.60228E-47,-100,1205.435094,-18.52832428,0.256435937,194698.6744,0.851684553,0.848090117,4.553639932,Ol1A
54,0.131056265,,,45,3.39471E-49,-100,1213.884029,-18.96400162,0.437827237,194724.0355,0.852342099,0.848105123,5.099244472,Ol1A
55,0.100284226,,,,,,1211.312732,-18.79127439,0.384235697,194113.3541,0.851772455,0.848092615,5.047282659,Ol1A
