"","(Intercept)","lnfO2","XFo","T_i","P_Pa","T_i:P_Pa"
"(Intercept)",3.39160089116358,0.00317191184676503,-0.45581571557494,-4212.83386381565,-2.19329355785165e-10,3.01947094039556e-07
"lnfO2",0.00317191184676503,0.00377088126248752,-0.00705752311746749,146.040032058485,-3.53942301868359e-12,-3.51531514432221e-09
"XFo",-0.45581571557494,-0.00705752311746749,0.348643606342704,22.579184514899,2.13241306497054e-11,-2.44581217860149e-08
"T_i",-4212.83386381565,146.040032058485,22.579184514899,11513960.2570386,1.55304202697044e-07,-0.00054058999557493
"P_Pa",-2.19329355785165e-10,-3.53942301868359e-12,2.13241306497054e-11,1.55304202697044e-07,4.08718768235376e-19,-6.76942467068648e-16
"T_i:P_Pa",3.01947094039556e-07,-3.51531514432221e-09,-2.44581217860149e-08,-0.00054058999557493,-6.76942467068648e-16,1.14757217595307e-12
