,XFo
0,0.8519299801188392
1,0.8501687012701176
2,0.8489364300129787
3,0.8482875815500358
4,0.848054004631875
5,0.847990525647923
6,0.8479787796588987
7,0.8479772547204486
8,0.8479771070494138
9,0.8479770978000613
10,0.8479770973904303
11,0.8479770973769725
12,0.8479770973766856
13,0.8479770973766813
14,0.8479770973766813
15,0.8479770973766813
16,0.8479770973766813
17,0.8479770973766813
18,0.8479770973766813
19,0.8479770973766813
20,0.8479770973766813
21,0.8479770973766813
22,0.8479770973766813
23,0.8479770973766813
24,0.8479770973766813
25,0.8479770973766813
26,0.8479770973766814
27,0.8479770973766814
28,0.8479770973766813
29,0.8479770973766814
