,XFo
0,0.8647528125837548
1,0.8725130958710567
2,0.8762579371620333
3,0.8798269618899358
4,0.8830132801766519
5,0.8858106613899829
6,0.8901067491925323
7,0.8916199484650671
8,0.8927686055698557
9,0.8936067804391331
10,0.8942044317244005
11,0.8946041126246086
12,0.8948667732108871
13,0.8950339495604891
14,0.8951366521394962
15,0.8951975911545006
16,0.895232702175854
17,0.8952523966174142
18,0.8952628282303314
19,0.8952682670553678
20,0.8952709975995586
21,0.8952723353806075
22,0.8952729675973033
23,0.8952732553501909
24,0.8952733828444045
25,0.895273460379768
26,0.8952734693776788
27,0.8952734728516454
28,0.8952734741545619
29,0.8952734746303062
30,0.895273474854115
31,0.8952734748730462
32,0.8952734748788652
33,0.8952734748806731
34,0.8952734748813694
35,0.8952734748814127
36,0.8952734748814245
37,0.8952734748814275
38,0.8952734748814286
39,0.8952734748814288
40,0.8952734748814289
41,0.8952734748814288
42,0.8952734748814289
43,0.8952734748814289
44,0.8952734748814289
45,0.8952734748814288
46,0.8952734748814288
47,0.8952734748814288
48,0.8952734748814288
49,0.8952734748814288
50,0.8952734748814289
51,0.8952734748814289
52,0.8952734748814288
53,0.8952734748814288
54,0.8952734748814288
55,0.8952734748814289
56,0.8952734748814288
57,0.8952734748814288
58,0.8952734748814288
59,0.8952734748814289
60,0.8952734748814288
61,0.8952734748814288
62,0.8952734748814288
63,0.8952734748814288
