    0.211752452743728625E+01    0.215976391661707012E+01    0.123451690399230574E+04    0.120718370735448616E+04   -0.186173465139260443E+02    0.597519696146935675E+00    0.894938330018520412E+00    0.865967325270175947E+00    0.857100516557693481E+00    0.305911433696746826E+02    0.368263043761253339E+01   -0.655394002673916809E+01    0.181782992380108949E+00   -0.733046329552980591E+01   -0.284552999672173682E+05   -0.419434943580810279E-09   -0.165030872362817592E-06   -0.120729141289415726E+06   -0.599146350544150419E+01    1
    0.832367557522114554E+00    0.258871872938635006E+01    0.123979495847269618E+04    0.120557901752940802E+04   -0.182309079800899383E+02    0.834508271023338244E+00    0.894999328267574334E+00    0.865207820057869004E+00    0.858755168080329923E+00    0.319203251600265503E+02    0.121658001184463487E+02   -0.757847988034104514E+01    0.195024515909578561E+00   -0.705353988210912952E+01   -0.268029402001104063E+05   -0.106557106276637759E-08    0.910284491198934007E-06   -0.120064912187941343E+06   -0.599396350544151169E+01    1
    0.264956669949135470E+00    0.272057655301353174E+00    0.123673554043435433E+04    0.119225796346209199E+04   -0.181509678460497099E+02    0.744502412144614767E+00    0.895013392460346280E+00    0.866868618130683943E+00    0.857311813592910754E+00    0.386257272958755493E+02    0.255912031173706040E+02   -0.681592892465018974E+01    0.240867930497072724E+00   -0.692431056365086128E+01   -0.262073315293671949E+05   -0.623971814471321250E-09   -0.368891414270531561E-07   -0.119680244460530026E+06   -0.599646350544151474E+01    1
    0.142892608641338681E+00    0.137790115679007896E+00    0.121587558946781610E+04    0.119275796471930516E+04   -0.185202056372396200E+02    0.642249786729897965E+00    0.894908094978332569E+00    0.867432949542999210E+00    0.858835154414176905E+00    0.388400137424468994E+02    0.410394287109374911E+01   -0.629073807183456690E+01    0.242930770583229066E+00   -0.711328409284924223E+01   -0.268817676035529985E+05   -0.440983528629097926E-09   -0.284664911917754358E-06   -0.119269538957302633E+06   -0.599896350544151957E+01    1
    0.344346448775614322E+00    0.526175254799012726E+00    0.125396059927889883E+04    0.121293284415711605E+04   -0.184775817576612518E+02    0.739574204593552276E+00    0.895093673610687257E+00    0.866810826897621123E+00    0.857893574714660656E+00    0.377437144517898560E+02    0.160703223586082444E+02   -0.578369023404666383E+01    0.270130123924134158E+00   -0.688593367724818872E+01   -0.266587667974355900E+05   -0.740314672657465080E-09    0.899760246110885239E-07   -0.119112391237545351E+06   -0.600146350544151552E+01    1
    0.133548831423605713E+00    0.197946631884479318E+01    0.124020699142330500E+04    0.121638600035767195E+04   -0.179965311772907128E+02    0.648341718116608456E+00    0.895094337332248746E+00    0.865893643021583559E+00    0.858152379393577580E+00    0.354184776544570923E+02    0.187598530590534232E+02   -0.718373860372601314E+01    0.231085814119536048E+00   -0.704868284425460789E+01   -0.259076105203965853E+05    0.980305536519902978E-10   -0.118495733681500569E-05   -0.119090479101684323E+06   -0.600396350544151858E+01    1
    0.128949133957735607E+00    0.381075465434974670E+00    0.124754409282569077E+04    0.118659766090534731E+04   -0.191414663183152491E+02    0.734643989520623930E+00    0.894921405494213174E+00    0.867681721210479706E+00    0.858633184194564802E+00    0.400771540403366089E+02    0.234629090607166297E+02   -0.655116395142207697E+01    0.249604589343714905E+00   -0.680703898603282020E+01   -0.265052906549641157E+05   -0.721266346455251495E-09    0.114623687264515642E-06   -0.118061439633591333E+06   -0.600646350544151630E+01    1
    0.267506553447987017E+01    0.106786010614303994E+01    0.125529954859743907E+04    0.120466427249634808E+04   -0.187257548616157656E+02    0.852442496384183124E+00    0.895094984233379409E+00    0.865366877555847180E+00    0.858031404256820673E+00    0.341935122013092041E+02    0.743371242284774691E+01   -0.725043380767859702E+01    0.259991239876197267E+00   -0.681232370980968494E+01   -0.252071388608508350E+05   -0.530778485015556863E-09   -0.161459307661630768E-06   -0.117723506909154225E+06   -0.600896350544152469E+01    1
    0.200143806363595467E+00    0.152598740303966718E+01    0.121006328417805889E+04    0.125402333813122118E+04   -0.179261522381493457E+02    0.815250659756754481E+00    0.895098912155628201E+00    0.866735657453536978E+00    0.858024323225021313E+00    0.372272264957427979E+02    0.277689686775207534E+02   -0.644773614365606207E+01    0.222855110753618024E+00   -0.763525499640261351E+01   -0.267762171651807330E+05   -0.689718111495997631E-09    0.222059953717349350E-06   -0.117466946178803133E+06   -0.601146350544151886E+01    1
    0.124052747350105186E+01    0.640118818393475175E+00    0.122172793298426268E+04    0.119075456704923272E+04   -0.170248150971506540E+02    0.781555219663107703E+00    0.895046695518493696E+00    0.866908916711807254E+00    0.858621509194374077E+00    0.403538209199905396E+02    0.119128982424736005E+02   -0.721130220082901374E+01    0.268958726167533135E+00   -0.663473134003894494E+01   -0.251453168878096803E+05   -0.190302345432474537E-09   -0.773468629726337217E-06   -0.115848990218762759E+06   -0.601396350544150859E+01    1
