"T1","T2","P_kbar","fe3_fet","time1","time2","C0","C1","C2","C2f","step1","step2","logfO2_bar","lnfO2_bar"
1187,1205,0.4,0,0.1,0.1,0.847,0.834,0.849,0.849,80,0.1,-8.09776912415915,-18.65
15,15,0.1,0,5000,5000,0.855,0.837,0.852,0.852,140,60,0.5,0.5
