Nested Sampling Global Log-Evidence           :   -0.394789945297144174E+01  +/-    0.924994321102089179E-01

Dim No.       Mean        Sigma
   1    0.607458894430846767E-04    0.115224838812335783E-04
   2    0.120875875913766640E+04    0.127409687244073115E+02
   3    0.896803772260136426E-03    0.944366333883145636E-04
   4    0.114996130603074491E+03    0.925119129007321961E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.752262103575573833E-04
   2    0.123794842771833055E+04
   3    0.913958208758785520E-03
   4    0.114445248782948596E+03

MAP Parameters
Dim No.        Parameter
   1    0.460570360620623156E-04
   2    0.119972198879432449E+04
   3    0.820182715841841019E-03
   4    0.114332818153054490E+03
