,P_MPa,H2O_liq,H2O_MI
0,74.0,0.593163953371439,0.593163953371439
1,73.0,0.593035042645905,0.5932418990318953
2,72.0,0.592902498136841,0.5932957223992764
3,71.0,0.592766160754304,0.59332777850731
4,70.0,0.592625861825235,0.5933401315332503
5,69.0,0.592481422354618,0.5933345872230723
6,68.0,0.592332652223297,0.5933127214840186
7,67.0,0.592179349310719,0.5932759055789176
8,66.0,0.592021298532402,0.5932253283052861
9,65.0,0.591858270785229,0.5931620154970262
10,64.0,0.591690021786464,0.5930868471462981
11,63.0,0.591516290797412,0.5930005724074631
12,62.0,0.591336799214758,0.5929038227132326
13,61.0,0.591151249021699,0.5927971232051817
14,60.0,0.590959321052026,0.5926809026541471
15,59.0,0.590760673116652,0.5925555020262603
16,58.0,0.590554937862653,0.5924211818271049
17,57.0,0.590341720437066,0.5922781283385684
18,56.0,0.590120595876284,0.5921264588487989
19,55.0,0.589891106172526,0.5919662259568182
20,54.0,0.589652757026663,0.5917974210218543
21,53.0,0.589405014183385,0.5916199768135029
22,52.0,0.589147299329715,0.5914337694055346
23,51.0,0.588878985470063,0.5912386193448684
24,50.0,0.588599391738157,0.5910342921164506
25,49.0,0.588307777487073,0.5908204979104953
26,48.0,0.588003335601174,0.5905968906857311
27,47.0,0.587685184941041,0.5903630665145363
28,46.0,0.587352361723336,0.5901185611804994
29,45.0,0.587003809586614,0.589862846976323
30,44.0,0.586638368322538,0.5895953286412375
31,43.0,0.586254760875398,0.5893153383586446
32,42.0,0.585851578345614,0.5890221297060961
33,41.0,0.58542726264755,0.5887148704263946
34,40.0,0.584980086404139,0.5883926338591597
35,39.0,0.584508129491806,0.5880543888321361
36,38.0,0.58400925165205,0.5876989877670642
37,37.0,0.583481060263677,0.5873251526960004
38,36.0,0.582920872463802,0.5869314588201509
39,35.0,0.582325670208232,0.5865163151552342
40,34.0,0.581692046862383,0.5860779416971732
41,33.0,0.581016143366542,0.5856143424108556
42,32.0,0.580293571580121,0.5851232731721354
43,31.0,0.579519321650104,0.5846022035702194
44,30.0,0.578687649717311,0.5840482712064621
45,29.0,0.577791940538132,0.5834582267504833
46,28.0,0.576824538846349,0.5828283675423211
47,27.0,0.575776540704581,0.582154456912864
48,26.0,0.574637533689649,0.5814316255622495
49,25.0,0.573395271014964,0.5806542502395301
50,24.0,0.572035259766339,0.5798158034919103
51,23.0,0.570540236307786,0.5789086662431644
52,22.0,0.568889492770209,0.5779238922369158
53,21.0,0.567058004556777,0.5768509096174845
54,20.0,0.565015290325017,0.5756771397009297
55,19.0,0.56272390889099,0.574387505712187
56,18.0,0.560137459496676,0.5729637940308763
57,17.0,0.557197897856409,0.5713838160607826
58,16.0,0.553831903990342,0.5696202984583978
59,15.0,0.549945932009064,0.5676394007914979
60,14.0,0.545419428873607,0.565398719821355
61,13.0,0.540095528674607,0.56284458549252
62,12.0,0.533768329642614,0.5599083838330626
63,11.0,0.526165713633309,0.5565015602947601
64,10.0,0.516926749622516,0.5525088818340803
65,9.0,0.505573381465092,0.547779514331686
66,8.0,0.491477793448197,0.5421155923479801
67,7.0,0.473829508191565,0.5352583197970247
68,6.0,0.45160719692216,0.526872161100751
69,5.0,0.423549963643061,0.5165275666702214
70,4.0,0.388081487712497,0.5036794819049744
71,3.0,0.34302946600417,0.4876270133421869
72,2.0,0.284644927784052,0.4674023783579176
73,1.0,0.203535750507325,0.4413700467887498
74,0.5,0.144367902132183,0.4254098775101661
75,0.1,0.064554640660714,0.40999560116675743
