Nested Sampling Global Log-Evidence           :   -0.315263805249870455E+01  +/-    0.810096932827302774E-01

Dim No.       Mean        Sigma
   1    0.588824723994551429E-03    0.477181189357109431E-01
   2    0.120976337936328150E+04    0.126089493523175769E+02
   3    0.901529474136089420E-03    0.931753304140653453E-04
   4    0.120097441386924174E+03    0.952272323996041226E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.113368096900608051E-03
   2    0.121858860518485380E+04
   3    0.762285539260102634E-03
   4    0.120867025499512721E+03

MAP Parameters
Dim No.        Parameter
   1    0.876273801927325005E-04
   2    0.121406517718049281E+04
   3    0.779610875376494298E-03
   4    0.120331700525107820E+03
