Nested Sampling Global Log-Evidence           :   -0.365754234228248043E+01  +/-    0.891999468481012719E-01

Dim No.       Mean        Sigma
   1    0.260400901438797780E-03    0.607055141917119706E-04
   2    0.120888314259188883E+04    0.117957066016748389E+02
   3    0.897133316801322091E-03    0.100218958063218327E-03
   4    0.565335523178692512E+02    0.937853064123761682E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.191801423594291441E-03
   2    0.118658027370614332E+04
   3    0.814574644009423464E-03
   4    0.567034504932805774E+02

MAP Parameters
Dim No.        Parameter
   1    0.393480221270224996E-03
   2    0.123887540104205777E+04
   3    0.938425660916251199E-03
   4    0.561325693412815738E+02
