"dpdt","T","Kd","MI_radius","Sample"
0.000960459045453,1198.8913713076,0.000926130754667,88.1421073968436,"SW_7_2_1"
0.003122308236819,1200.53030244604,0.000841673447837,87.6521320366085,"SW_7_2_1"
0.003442639581636,1208.91852637612,0.000906552902593,88.7644563617002,"SW_7_2_1"
0.001235810835273,1214.64959966362,0.001015219554095,88.6746725468628,"SW_7_2_1"
0.004033974341583,1235.60507088623,0.000919711764104,89.0591285040963,"SW_7_2_1"
0.002911899367189,1215.78987353539,0.000770164158535,88.8574450431764,"SW_7_2_1"
0.003478380195022,1222.84984069686,0.000895412074226,88.830191333379,"SW_7_2_1"
0.003716701432097,1215.74255478076,0.00099824701939,88.5310617866161,"SW_7_2_1"
0.002787985038318,1201.10060385189,0.000850697964688,88.948244579853,"SW_7_2_1"
0.00267924170146,1194.24742461653,0.000879089033008,89.4861676015679,"SW_7_2_1"
0.001205669810224,1210.34761128587,0.000986427647035,89.0969702957536,"SW_7_2_1"
0.003176749139134,1204.6757634811,0.000941988123763,87.9432618931134,"SW_7_2_1"
0.00325255894669,1200.24226508175,0.001019397813932,88.8208438824191,"SW_7_2_1"
0.001581018778678,1236.23331350407,0.001064307006297,88.330746839818,"SW_7_2_1"
0.003222243340914,1196.78749503392,0.001012531645847,87.622247767866,"SW_7_2_1"
0.001117693377328,1211.06058215145,0.000896434535602,88.8709520084218,"SW_7_2_1"
0.00312950929561,1204.30124880298,0.000964502699388,88.7478347462578,"SW_7_2_1"
0.003876261202883,1216.25070481266,0.001086673332763,88.0613267222762,"SW_7_2_1"
0.002608773479467,1205.38689686292,0.000810148643621,88.9437140346985,"SW_7_2_1"
0.002735111103915,1203.43918175675,0.000867411327513,88.7890401517726,"SW_7_2_1"
0.00104961587906,1199.31059129426,0.000916662481084,89.7557392106673,"SW_7_2_1"
0.003016760443713,1203.29834704319,0.000978057173469,89.114438134278,"SW_7_2_1"
0.002621408556559,1211.23829815786,0.00080253255262,88.4662664364949,"SW_7_2_1"
0.002730494598773,1203.9933503301,0.000890386589592,89.053537294084,"SW_7_2_1"
0.001040226975357,1217.092859984,0.000744941832777,86.9267118910402,"SW_7_2_1"
0.002996391352326,1200.84073823481,0.000979269978637,87.9316040508509,"SW_7_2_1"
0.001214618371829,1213.72488144309,0.000938126009391,89.5468340690614,"SW_7_2_1"
0.003050668566291,1211.78923694922,0.000960594593196,89.1911915050364,"SW_7_2_1"
0.003152115301987,1211.24516049963,0.000989046747338,88.7625945024511,"SW_7_2_1"
0.001327417493341,1208.83637292768,0.001032246572741,88.6774055700946,"SW_7_2_1"
0.002875971973088,1220.11271500397,0.000879662435263,89.9562423155404,"SW_7_2_1"
0.001215576018654,1219.56214615529,0.000873968184316,88.5657500784819,"SW_7_2_1"
0.003067328218889,1231.15007324512,0.000843463146825,88.2710329602218,"SW_7_2_1"
0.001588387061514,1238.40126609263,0.00097347796533,87.3330819377297,"SW_7_2_1"
0.002809308275613,1201.66194152853,0.000982085651986,89.4281379664756,"SW_7_2_1"
0.003917345333703,1221.14740689654,0.001129658941845,86.7404926845589,"SW_7_2_1"
0.003481341412995,1215.30301849526,0.001094316297961,88.5653522378981,"SW_7_2_1"
0.000953206708995,1195.81982335285,0.000807330880409,89.2843514326828,"SW_7_2_1"
0.004113509578988,1242.17394517686,0.001120204797808,89.976278555112,"SW_7_2_1"
0.001359727513266,1212.8937388565,0.001001925660023,88.4090035448633,"SW_7_2_1"
0.00311819420501,1217.59946198352,0.000998966967716,89.6334964370913,"SW_7_2_1"
0.002925443409472,1213.91341792007,0.000931010244289,88.166799784598,"SW_7_2_1"
0.002565057282347,1198.42362712149,0.000891860097317,87.2968218713807,"SW_7_2_1"
0.001274540566425,1213.09255463995,0.000927559199892,88.1503041372772,"SW_7_2_1"
0.001051147652318,1183.33444840716,0.000956379250531,88.9082973399213,"SW_7_2_1"
0.002515336571058,1211.62552156976,0.000823398376669,88.429994551365,"SW_7_2_1"
0.002553628020706,1212.0809485912,0.000859431982072,89.4275923416996,"SW_7_2_1"
0.002537299373413,1206.00519890734,0.000878016853525,88.8079268874752,"SW_7_2_1"
0.002820736002711,1223.42312643244,0.000843856404135,87.5919408851031,"SW_7_2_1"
0.001015367705033,1198.69344735296,0.000839219716692,89.7714206925274,"SW_7_2_1"
0.00095157463793,1183.53667512522,0.000842506982379,88.1621002582837,"SW_7_2_1"
0.003189762520788,1244.41504463314,0.000848111140887,88.3676685083821,"SW_7_2_1"
0.002678863773177,1213.38801378239,0.000878443451615,88.4655371102627,"SW_7_2_1"
0.002644011158445,1208.03477762149,0.000905179434582,88.6768668282231,"SW_7_2_1"
0.002571691341342,1210.26706774156,0.000853042284087,87.8217956768482,"SW_7_2_1"
0.002603823184371,1216.49337677387,0.000838114730438,88.3008854935054,"SW_7_2_1"
0.001371454259714,1203.7270183681,0.001044652499774,88.0348427621749,"SW_7_2_1"
0.002222886252695,1204.47378096381,0.000806193952776,89.7426993490535,"SW_7_2_1"
0.002669244110921,1192.70725996119,0.001021669719187,88.470611093626,"SW_7_2_1"
0.001087736330813,1216.01601200293,0.000790255238675,89.800193950284,"SW_7_2_1"
0.00187003848202,1171.02100097369,0.000820115393114,87.5287945082351,"SW_7_2_1"
0.00251011765362,1215.25253962873,0.000828136799429,88.5814465181761,"SW_7_2_1"
0.002574705145329,1196.6401933632,0.000947334055228,87.5896485744967,"SW_7_2_1"
0.002418712580556,1204.216235855,0.000862436019968,88.2645084136162,"SW_7_2_1"
