,t1,t2,T1,T2,lnfO2,P,Ea,C0,C1,C2,b1,b2,t1c,t2c,Profile
0,1374.8038064728735,2.9763969887300816,1214.4552881594034,1212.4911903969705,-18.017172253002496,0.7043077654912114,194767.713883991,0.8949429188766216,0.8655662024328372,0.8586200162582357,68.69907787611984,7.029946785453493,1377.7802034616036,2.9763969887300816,Ol5B_main
1,5369.926317611442,11.789118356479383,1214.958235076358,1188.4363552613202,-17.684816404382957,0.7994116425181006,211934.1409711835,0.8950141278214161,0.8660057927212572,0.8582967932023867,52.17440807313338,13.461561933848158,5381.715435967922,11.789118356479383,Ol5B_main
2,2170.310632373513,1.691063200555256,1234.117539433159,1211.52979296465,-18.83792808631138,0.6350122478008939,202292.28211722765,0.8949887695826555,0.8652892446729499,0.8586092861278499,89.510030619737,13.867810850318829,2172.001695574068,1.691063200555256,Ol5B_main
3,1799.1022975672204,2.946542319455556,1220.0691272294468,1219.555616352262,-17.34468541439908,0.8498706686285793,200395.70510255673,0.8949025236242736,0.8653946162022418,0.8585605350150598,85.47526803832896,9.793041279208005,1802.048839886676,2.946542319455556,Ol5B_main
4,2336.6637527427074,9.351431276681256,1237.3157936712466,1204.0393408576372,-18.28336793054742,0.8030954639394198,204212.5888837193,0.8950283520855732,0.865474913445568,0.8581240544204857,91.9300219162625,8.523012679907028,2346.0151840193885,9.351431276681256,Ol5B_main
5,3847.5048605725483,8.841384955296926,1227.2509250310266,1212.313242532015,-17.849375811307475,0.8751126466162986,209907.78148509967,0.8949802315932145,0.8653484453756519,0.8586964378721,87.30716518839273,11.237966952337736,3856.3462455278454,8.841384955296926,Ol5B_main
6,488.1703512028004,0.7160398538198639,1217.513215238405,1213.9179368505108,-17.66406111791972,0.7326937699775053,183972.00971240216,0.8949086377222272,0.8652531131027346,0.8585727739472163,87.42726754214553,11.536180184032608,488.88639105662025,0.7160398538198639,Ol5B_main
7,1006.370325459304,1.263772293182777,1246.2579305831725,1197.3323966812331,-18.50093448874545,0.7495542979362604,193938.63173264932,0.8949630121852976,0.8658940527928787,0.8585459307098102,64.15456444075085,17.36618220930751,1007.6340977524868,1.263772293182777,Ol5B_main
8,2349.457784277208,2.8616216341179506,1209.8318496985748,1233.582674514279,-18.669612015968557,0.8248269577664263,199565.819840521,0.894996807731171,0.8655057339616071,0.8580212559035115,70.98372678329147,13.559782645990104,2352.3194059113257,2.8616216341179506,Ol5B_main
9,3976.2939556541687,9.541364511185895,1222.6649155450375,1202.8480841783955,-17.640397404938575,0.7486477023006074,210826.94017548495,0.8949989783904032,0.865485720061077,0.8583157059718738,95.34962346917824,14.49201715475408,3985.8353201653545,9.541364511185895,Ol5B_main
10,7885.017783006948,18.460493168115608,1203.9928902137012,1194.8995852038922,-18.808226974111246,0.6758019363627603,213146.23066811997,0.8949421190795156,0.8656161615772817,0.8581141259653299,35.14206967592231,11.924215102167047,7903.478276175064,18.460493168115608,Ol5B_main
11,3169.6528541425073,9.500782568297447,1223.2583251932026,1207.6062799092388,-18.21065961879694,0.6601126386438334,205776.35353761935,0.8950082783796977,0.8656613238976436,0.8583897603188083,54.96949784461643,12.738087644874199,3179.1536367108047,9.500782568297447,Ol5B_main
12,3234.1331306897478,2.5988084266452547,1248.7863240883942,1207.2297311864932,-17.73282118033381,0.8464144473730487,211209.00252533998,0.8950512485409567,0.8654417805844908,0.8586499778943306,73.58885485728806,15.33829492952761,3236.731939116393,2.5988084266452547,Ol5B_main
13,1233.8833207923835,2.798943865922921,1222.2635794226571,1203.0503216471066,-17.614506217455475,0.6960418088040368,194723.07192270612,0.8950161957337788,0.8659517247352022,0.8586467668786081,45.174836860381745,13.183030830780211,1236.6822646583064,2.798943865922921,Ol5B_main
14,496.88341231546406,1.5220094781625386,1235.6979839766195,1212.9888176904194,-17.618789742939473,0.6954683948531469,185154.8376350639,0.8950360171079619,0.86594933181059,0.8584770906780321,51.11490001769785,12.557704236917031,498.4054217936266,1.5220094781625386,Ol5B_main
15,364.1863592969695,0.4288489725628467,1212.5512942792823,1198.8139496585134,-18.03991524660769,0.7722540889808017,178682.32230036848,0.8949961324022843,0.865380878693279,0.85844299042634,67.21228653174998,14.570739769682095,364.61520826953233,0.4288489725628467,Ol5B_main
16,873.7544907192654,2.2258754225271176,1232.2273927572219,1200.3633228529347,-18.02174068282635,0.7546958338657312,191424.6684996351,0.8949822118384815,0.8659985260338646,0.8587535745692779,48.3621543498559,17.0115989583551,875.9803661417925,2.2258754225271176,Ol5B_main
17,3668.955672829463,8.636784512596636,1227.9268473418977,1183.0195376919394,-18.09751959141765,0.505126043217993,209359.89823261247,0.8949570494668936,0.8651226160193096,0.8582415923170615,85.00088542139193,8.646888008714011,3677.5924573420593,8.636784512596636,Ol5B_main
18,3162.7480912991277,9.136363914587337,1219.9551026161955,1205.912683917415,-18.61243335315234,0.8398864858154038,204317.4676662695,0.895048679704276,0.8652272843590395,0.8582281790834907,61.345439367064465,6.543553383245965,3171.8844552137152,9.136363914587337,Ol5B_main
19,3221.9150426413344,3.7246526012493906,1240.1666216371098,1212.5003009723043,-18.83610414169314,0.7128215190865367,207741.99538356255,0.8950342125419972,0.8653329083012938,0.8589664634944484,49.63744164708831,16.89631822062391,3225.639695242584,3.7246526012493906,Ol5B_main
20,3359.5873303760404,10.812454402318634,1224.4190195552844,1203.2732662858814,-18.243858212164966,0.5943645185904114,206911.62602763707,0.8949879924878994,0.8650296752985944,0.8586787979103562,59.03753095417109,7.588198479197424,3370.399784778359,10.812454402318634,Ol5B_main
