"T1","T2","P_kbar","fe3_fet","time1","time2","C0","C1","C2","C2f","step1","step2","logfO2_bar","lnfO2_bar"
1230,1210,0.74,0,0.1,0.1,0.8949,0.865,0.857,0.857,30,0.1,-7.95635841909423,-18.32
15,15,0.1,0,20000,2000,0.8951,0.868,0.859,0.859,100,30,0.5,0.5
