"Profile","Distance","SiO2 (wt%)","TiO2 (wt%)","Al2O3 (wt%)","Cr2O3 (wt%)","FeO (wt%)","MnO (wt%)","MgO (wt%)","CaO (wt%)","NiO (wt%)","P2O5 (wt%)","Total (wt%)","Fo","Fo_err","XFo","Fo_stdev","Zone"
"Ol5B_main",154.3936,39.2979,,0.026739,0.0738,12.492,0.163866,47.0895,0.180787,0.359079,0.019912,99.703583,87.0456162818989,0.034217131184597,0.870456162818989,0.000342171311846,1
"Ol5B_main",159.7336,39.2927,,0.033581,0.073782,12.4954,0.163401,47.1584,0.183124,0.358321,0.005552,99.764261,87.0590286745983,0.034195339128644,0.870590286745983,0.000341953391286,1
"Ol5B_main",165.0426,39.3105,,0.029307,0.072764,12.5044,0.161115,47.4102,0.183843,0.359688,0.009008,100.040825,87.1108241453372,0.034053143252571,0.871108241453372,0.000340531432526,1
"Ol5B_main",170.3946,39.2849,,0.025593,0.073794,12.4406,0.161499,47.2875,0.18143,0.363419,0.013897,99.832632,87.1391351702296,0.033997458428495,0.871391351702295,0.000339974584285,1
"Ol5B_main",175.7456,39.2267,,0.026643,0.074078,12.4773,0.166408,47.2748,0.179553,0.363489,0.002722,99.791693,87.1030701870865,0.034063346944734,0.871030701870865,0.000340633469447,1
"Ol5B_main",181.0456,39.0673,,0.030219,0.073789,12.3359,0.163443,47.1254,0.191766,0.369017,0,99.356834,87.195263619706,0.033928965676971,0.87195263619706,0.00033928965677,1
"Ol5B_main",186.4026,39.321,,0.035766,0.07648,12.4455,0.165239,47.2717,0.182469,0.364049,0.00209,99.864293,87.1309746455011,0.034039893290078,0.871309746455011,0.000340398932901,1
"Ol5B_main",191.7616,39.3476,,0.032132,0.078396,12.3933,0.16092,47.3685,0.177649,0.36279,0,99.921287,87.2008788880536,0.033879166607292,0.872008788880536,0.000338791666073,1
"Ol5B_main",196.9766,39.4564,,0.036728,0.078551,12.4131,0.17209,47.289,0.174121,0.365001,0,99.984991,87.1642698941046,0.033971695458654,0.871642698941046,0.000339716954587,1
"Ol5B_main",202.3166,39.481,,0.031208,0.079664,12.3787,0.16363,47.3075,0.174477,0.365613,0,99.981792,87.1996527501057,0.033975291193251,0.871996527501057,0.000339752911933,1
