,P_MPa,H2O_liq,H2O_MI
0,74.0,0.593163953371439,0.593163953371439
1,73.0,0.593035042645905,0.5932419129870052
2,72.0,0.592902498136841,0.593295747401178
3,71.0,0.592766160754304,0.593327812109722
4,70.0,0.592625861825235,0.5933401716829748
5,69.0,0.592481422354618,0.5933346322007417
6,68.0,0.592332652223297,0.5933127698532163
7,67.0,0.592179349310719,0.5932759561425256
8,66.0,0.592021298532402,0.5932253800680602
9,65.0,0.591858270785229,0.5931620676335404
10,64.0,0.591690021786464,0.5930868989735052
11,63.0,0.591516290797412,0.5930006233612299
12,62.0,0.591336799214758,0.5929038723282867
13,61.0,0.591151249021699,0.5927971710979857
14,60.0,0.590959321052026,0.5926809485082822
15,59.0,0.590760673116652,0.5925555455799564
16,58.0,0.590554937862653,0.5924212228626025
17,57.0,0.590341720437066,0.5922781666730434
18,56.0,0.590120595876284,0.5921264943266153
19,55.0,0.589891106172526,0.5919662584429034
20,54.0,0.589652757026663,0.5917974503960243
21,53.0,0.589405014183385,0.5916200029655833
22,52.0,0.589147299329715,0.5914337922311447
23,51.0,0.588878985470063,0.591238638741753
24,50.0,0.588599391738157,0.5910343079812596
25,49.0,0.588307777487073,0.5908205101359183
26,48.0,0.588003335601174,0.5905968991579118
27,47.0,0.587685184941041,0.5903630711106939
28,46.0,0.587352361723336,0.5901185617666911
29,45.0,0.587003809586614,0.5898628434052914
30,44.0,0.586638368322538,0.5895953207502843
31,43.0,0.586254760875398,0.5893153259674759
32,42.0,0.585851578345614,0.5890221126145879
33,41.0,0.58542726264755,0.5887148484122214
34,40.0,0.584980086404139,0.5883926066752327
35,39.0,0.584508129491806,0.5880543562037839
36,38.0,0.58400925165205,0.5876989493888939
37,37.0,0.583481060263677,0.5873251082283603
38,36.0,0.582920872463802,0.5869314078851076
39,35.0,0.582325670208232,0.586516257331959
40,34.0,0.581692046862383,0.5860778765166237
41,33.0,0.581016143366542,0.5856142693495965
42,32.0,0.580293571580121,0.5851231916451349
43,31.0,0.579519321650104,0.5846021129223942
44,30.0,0.578687649717311,0.5840481707027175
45,29.0,0.577791940538132,0.5834581155639098
46,28.0,0.576824538846349,0.5828282447401442
47,27.0,0.575776540704581,0.5821543214396251
48,26.0,0.574637533689649,0.5814314762195617
49,25.0,0.573395271014964,0.5806540856615695
50,24.0,0.572035259766339,0.5798156221155557
51,23.0,0.570540236307786,0.5789084662713849
52,22.0,0.568889492770209,0.5779236715935545
53,21.0,0.567058004556777,0.5768506658910156
54,20.0,0.565015290325017,0.5756768700739363
55,19.0,0.56272390889099,0.5743872068722243
56,18.0,0.560137459496676,0.5729634620568101
57,17.0,0.557197897856409,0.5713834462765747
58,16.0,0.553831903990342,0.5696198852432642
59,15.0,0.549945932009064,0.567638937331164
60,14.0,0.545419428873607,0.5653981977791802
61,13.0,0.540095528674607,0.5628439945711129
62,12.0,0.533768329642614,0.5599077111859314
63,11.0,0.526165713633309,0.5565007897333755
64,10.0,0.516926749622516,0.552507992759112
65,9.0,0.505573381465092,0.5477784803014701
66,8.0,0.491477793448197,0.5421143791901718
67,7.0,0.473829508191565,0.5352568831831053
68,6.0,0.45160719692216,0.5268704435433943
69,5.0,0.423549963643061,0.5165254939309365
70,4.0,0.388081487712497,0.5036769586434843
71,3.0,0.34302946600417,0.4876239170397594
72,2.0,0.284644927784052,0.46739854776772227
73,1.0,0.203535750507325,0.441365249330148
74,0.5,0.144367902132183,0.42540447934580744
75,0.1,0.064554640660714,0.4099896004359301
