    0.104538101140402730E+02    0.120790062816437012E+04   -0.179261433164463924E+02    0.737673396782433488E+00    0.211430228023323434E+06    0.858245270973268193E+00    0.866526196009895444E+00    0.489789906603844116E+01   -0.150292232475762315E+02
    0.107499589758616043E+02    0.119870569681611096E+04   -0.181997558006318840E+02    0.764013629842219433E+00    0.212803865670364961E+06    0.859686406952251292E+00    0.866155760302329325E+00    0.828578987883363105E+01   -0.149031130054116954E+02
    0.501327591269046469E+01    0.120980330253162970E+04   -0.176557984777572798E+02    0.762228967718068029E+00    0.190901032263401779E+06    0.859286862959667941E+00    0.866580993195507410E+00    0.277930405706009775E+01   -0.147017185371388486E+02
    0.483259206364257343E+00    0.119916302763360068E+04   -0.186898236884427362E+02    0.805769245340246520E+00    0.169225819051912753E+06    0.858758039047521349E+00    0.866596150747411031E+00    0.707105325593692324E+01   -0.139470737553859436E+02
    0.409225969237106746E+01    0.121865172370634900E+04   -0.178207365875662660E+02    0.648238578770669371E+00    0.199641427930962032E+06    0.859026498889381429E+00    0.866271538165759192E+00    0.698032742294819197E+01   -0.134553520712866206E+02
    0.155030075631256414E+01    0.121200940965668838E+04   -0.179329460428960701E+02    0.692315360827300053E+00    0.191378478011128318E+06    0.859947932927016989E+00    0.866655482300957902E+00    0.951275941510427181E+01   -0.133861907207030661E+02
    0.145443512699349919E+01    0.121808980904065174E+04   -0.179948883855426125E+02    0.694735601299987793E+00    0.191160060123502626E+06    0.858839534518446079E+00    0.866529744164500126E+00    0.418683846037787522E+01   -0.131603694123273556E+02
    0.140512500968346354E+01    0.122480483275166966E+04   -0.175676594461010858E+02    0.677602128426590400E+00    0.196222416353008011E+06    0.859121825160530483E+00    0.866408734471613706E+00    0.479845151592003738E+01   -0.130520586842159645E+02
    0.188006493691551291E+01    0.121856723208166272E+04   -0.185655133414435021E+02    0.878601756468536776E+00    0.201014051439025177E+06    0.859725677987265180E+00    0.866544325493356915E+00    0.711293197890617179E+01   -0.130436399536613568E+02
    0.611272738597954945E+00    0.121638705088005099E+04   -0.186181292593587706E+02    0.796322731651056936E+00    0.178729270425083843E+06    0.858823479685630775E+00    0.866190194788979517E+00    0.532146151367876996E+01   -0.130220244506942873E+02
    0.608856736403027270E+02    0.121847575443691608E+04   -0.183735859662103955E+02    0.693428716426597536E+00    0.228402188802143588E+06    0.859682393735394679E+00    0.866182260172387974E+00    0.524222058619649456E+01   -0.128252373280818457E+02
    0.129340043745555056E+01    0.121123908850104453E+04   -0.176566778834940692E+02    0.733906708381243056E+00    0.176180290712759015E+06    0.859845982897604832E+00    0.866454892511675290E+00    0.582140493550356375E+01   -0.126390432839971059E+02
    0.181816352264761671E+01    0.121424295239363232E+04   -0.183740614931317943E+02    0.799662474715916449E+00    0.185955334395559417E+06    0.858739684193250641E+00    0.866294329224847059E+00    0.462069096316455319E+01   -0.126211972372334493E+02
    0.137258396897952539E+01    0.124202235193012621E+04   -0.183962118586579990E+02    0.537772687616517975E+00    0.188898370673827420E+06    0.858580990670561928E+00    0.866381549985221655E+00    0.199079162340904392E+00   -0.126084251023133138E+02
