Nested Sampling Global Log-Evidence           :   -0.134874072601393671E+02  +/-    0.106301237144981839E+00

Dim No.       Mean        Sigma
   1    0.144830889741211326E+02    0.222428379546106747E+02
   2    0.121237342082931832E+04    0.128875320088483214E+02
   3   -0.183401301639380563E+02    0.474945456458501947E+00
   4    0.757602542404793300E+00    0.913919887381370311E-01
   5    0.202492658300099138E+06    0.152257144500904669E+05
   6    0.859501906955534078E+00    0.271836648231396476E-03
   7    0.866436911415163991E+00    0.900573630021770185E-04
   8    0.427852216273681041E+01    0.210001870537828461E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.157872551727098798E+01
   2    0.119305305022954349E+04
   3   -0.180470735120919734E+02
   4    0.759085176935385908E+00
   5    0.181109896078064048E+06
   6    0.859505613507484889E+00
   7    0.866440984557059091E+00
   8    0.390797307266128291E+01

MAP Parameters
Dim No.        Parameter
   1    0.157872551727098798E+01
   2    0.119305305022954349E+04
   3   -0.180470735120919734E+02
   4    0.759085176935385908E+00
   5    0.181109896078064048E+06
   6    0.859505613507484889E+00
   7    0.866440984557059091E+00
   8    0.390797307266128291E+01
