Nested Sampling Global Log-Evidence           :   -0.436575556625564065E+01  +/-    0.978767395139989727E-01

Dim No.       Mean        Sigma
   1    0.122652639295890904E-02    0.192126267025760671E-03
   2    0.121053379610051434E+04    0.122326960623055889E+02
   3    0.904689065127555229E-03    0.913563912905255860E-04
   4    0.609472481001425521E+02    0.905050122925061040E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.111606839054899940E-02
   2    0.120381824040665310E+04
   3    0.852809962407384959E-03
   4    0.605436489776553941E+02

MAP Parameters
Dim No.        Parameter
   1    0.867285587592967855E-03
   2    0.119853791742971316E+04
   3    0.763434423091535449E-03
   4    0.606124210189808537E+02
