Nested Sampling Global Log-Evidence           :   -0.406489557415872849E+01  +/-    0.946076392854871551E-01

Dim No.       Mean        Sigma
   1    0.138578336627069197E-02    0.235888972669491109E-03
   2    0.121023098284424441E+04    0.116180943640552332E+02
   3    0.898431519595970190E-03    0.998596210169389032E-04
   4    0.600416035184351031E+02    0.955992118642192579E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.170451209318450508E-02
   2    0.121686938407993512E+04
   3    0.103504399471647805E-02
   4    0.591429843467407679E+02

MAP Parameters
Dim No.        Parameter
   1    0.138828321256188577E-02
   2    0.122168307422445741E+04
   3    0.920817414387561689E-03
   4    0.601825255748283823E+02
