,t,T,lnfO2,P,C0,C1,b1,lnD0_Fo,clnfO2_Fo,cXFo_Fo,cT_i_Fo,cP_Fo,cT_iP_Fo,Profile
0,18.508929557850152,1203.5274055247903,-18.564677423616445,0.44127898026139767,0.8506933223241555,0.8433906610672787,32.024595278274674,-6.411917803060203,0.2210014411211608,-7.2378409639285435,-27299.844736573847,-2.755797641907429e-10,-5.209284619325072e-07,Ol2B
1,32.55892266304837,1203.3239874756473,-18.42450356602236,0.3158481055468556,0.8500103327528492,0.8431763834088606,41.44726533624757,-6.914981809839803,0.21747151018720579,-7.23082706364376,-26805.75381589489,4.4481969076909577e-11,-9.983211812179305e-07,Ol2B
2,18.81957734936719,1212.7405263347684,-18.432682323876914,0.40031268445681434,0.8504817333742732,0.843706082991489,44.00888261879196,-6.8283112452850645,0.18650193600368745,-7.699518537492791,-27519.87283717701,-2.5244087960677695e-10,-4.219861021665802e-07,Ol2B
3,30.983516203285475,1207.6735856639712,-19.16293038209204,0.4855422431897497,0.8503475073196878,0.8439837131549937,22.641161803300623,-6.8585744950026815,0.24051643911203485,-7.507291887311862,-25844.26036563609,-1.0966269323646756e-09,8.275282187358311e-07,Ol2B
4,35.52776041935506,1211.5962302474304,-18.66445644740587,0.34905855120468327,0.8509860456992476,0.843319420809471,17.789973007051536,-6.946613147944147,0.2478308043813664,-7.230541187555792,-25628.615918709747,-5.584206316315899e-10,-8.794838243201991e-08,Ol2B
5,20.555160481052383,1212.3691898521238,-18.247681374703205,0.40040586552411395,0.8501205055855825,0.843087890994348,43.94044211664085,-7.725334894483651,0.21227960342597113,-6.783123490028557,-26286.652481699064,1.0688969890403257e-10,-1.1090469067593337e-06,Ol2B
6,12.471746845010918,1195.803096724093,-18.565805785084432,0.3124272196659077,0.8500992942910716,0.8438329280875976,38.13565431945478,-6.262041572768171,0.21617025803024942,-7.352934383173271,-27498.955574836862,-6.993567698008997e-10,2.050537093027208e-07,Ol2B
7,42.093744148527804,1210.2329641239755,-17.99647979978594,0.4335306156445812,0.8505148188467099,0.8426476984455977,29.707438105202357,-7.561884194117617,0.21997047589595856,-6.905131194484123,-26019.36256768171,-5.905789350578376e-10,3.933758134133421e-08,Ol2B
8,51.75993990806681,1207.8416485223236,-18.70900464046877,0.3651635031463709,0.8504499415041298,0.8427761370547441,38.944983096463524,-6.721040149904144,0.20222707193441025,-7.537770319248899,-27343.509573595016,-4.76415753092948e-10,-1.3224576214085987e-07,Ol2B
9,27.34561227168355,1222.4248661679121,-18.590385200718327,0.39186482915820914,0.8502559136987917,0.8434560846922242,21.601354153680767,-5.893982185788252,0.20395789603775952,-7.511577227942708,-28289.330669484818,-6.792108612913532e-10,2.183488052216179e-07,Ol2B
10,34.676668438057575,1209.0885197649868,-18.390205460358686,0.4124343863820059,0.8501611094207391,0.8430241723547153,37.08351038306107,-6.885242880798826,0.19811494543814193,-6.982883593629381,-27852.474568910467,-4.433041185482829e-10,-1.378877083174087e-07,Ol2B
11,37.53866762755932,1195.6586747427532,-18.440288670372126,0.3867584163720843,0.8509901732167343,0.8432723395079429,9.538742260431986,-6.699654204046793,0.20613107886894916,-7.388941660244721,-27269.835831627883,-5.406457099067689e-10,-6.347297050886658e-09,Ol2B
12,67.65974917554773,1198.887590966996,-18.699122045992972,0.4540431505355595,0.8506937765309827,0.8421609390142188,42.04875556783008,-8.428614872088152,0.18818403588157714,-6.636788099012661,-26453.095886850537,3.318030491490976e-10,-1.4000927892768315e-06,Ol2B
13,41.81789464575319,1196.8428903419938,-17.9517310819906,0.5375611017513112,0.8507240967750549,0.843379420518875,19.05505508184433,-7.61645046281894,0.17248681374788996,-6.929910212504165,-27834.76630877208,-2.2635387193594857e-10,-4.6870055075801375e-07,Ol2B
14,22.459022363576054,1207.7859326422217,-18.664539800193023,0.214602164387127,0.8503570167949193,0.8439966150859727,30.875638353047435,-6.810571995704928,0.19740391390005066,-7.039183580035055,-27920.704033920498,-6.531726996471963e-10,2.0881538104635908e-07,Ol2B
15,77.45096427134324,1187.1005510602613,-18.279223213226892,0.32905058940177856,0.8509166788930574,0.8429699758807727,6.620384310069719,-7.847832173425705,0.18586710536037107,-7.081910488315181,-26751.491480011788,-1.4313126353008129e-10,-5.903490914486698e-07,Ol2B
16,45.44474135525905,1208.2224037134674,-18.034710389532727,0.48465409213288807,0.8502209452310799,0.8424754418336947,39.93699391600437,-7.205084149221609,0.20444354379391347,-7.134754187327778,-26960.396823075534,-3.1736688912274494e-10,-3.780871314264454e-07,Ol2B
17,16.016979144126108,1203.9389671470271,-18.71054322187837,0.35146802353013357,0.8501704235822963,0.843991197969865,40.83832441827738,-5.906645155384634,0.20196594373587326,-7.78383588239764,-28135.29321401289,-2.6132388126309404e-10,-4.591303494869237e-07,Ol2B
18,8.700819467451845,1229.7892703209113,-18.638227122726565,0.2787181699867574,0.8501371325155248,0.8434197981453552,45.06740924664873,-6.805571345521666,0.2463317927343044,-6.7344271796024655,-26367.348129527196,-1.2389614844803655e-09,1.0245354104494742e-06,Ol2B
19,6.6251013807304915,1218.051046601321,-18.538854343336965,0.31583322309093126,0.8507210165728761,0.8439189542758967,36.886454271929004,-6.785288242017602,0.2128402579127728,-7.767600324722416,-26531.840636368463,-4.909265801354614e-10,-1.0326103066284316e-07,Ol2B
20,20.465478576015606,1222.1202152828466,-18.702775387041626,0.4898016486918889,0.8501680786481126,0.8435743430086158,37.805483093343945,-6.993572482074205,0.22458856293098356,-7.003039639693444,-26692.33493171913,-7.684870890562074e-10,3.031147792838178e-07,Ol2B
21,32.89883127135066,1211.7453087777662,-19.096460416612715,0.35303395316663166,0.8503644377401506,0.8430057182690748,44.286661174615055,-7.112214986169491,0.20481467519823432,-7.174969957377348,-27025.987927072325,-4.4986327281581144e-10,-1.7016766016608016e-07,Ol2B
22,46.21995259231402,1201.497704012243,-17.99895741826498,0.5064309240945395,0.8502760883974708,0.84316065971956,16.157445551653467,-7.687126589521494,0.2012434991112556,-6.980082014734674,-26596.422201147074,8.478863074303729e-11,-1.0303687344969225e-06,Ol2B
23,17.367738309351612,1210.835824269961,-18.435382207107956,0.21430700218835072,0.8506214984970185,0.8431361539375393,34.14865535915961,-6.13713306649834,0.24484556491048867,-7.184546399012806,-26815.648750102962,1.3615756843514344e-10,-1.2835509954033546e-06,Ol2B
24,44.22173284956822,1182.749583037559,-19.277646718284686,0.40634232230234324,0.8503289081819866,0.84297787858759,44.331118272630086,-7.283304265101952,0.22399662184010752,-7.162748716044272,-26113.961511363315,-9.770953928313077e-10,7.005032996166022e-07,Ol2B
25,36.10213777309238,1191.1444080203944,-18.6478455888905,0.44865375626845216,0.850562315130624,0.8433523626734778,24.180046723335224,-7.263395279614681,0.21097795508542008,-6.9353578077215525,-26808.958558442348,-9.973951323503474e-10,7.095347342247148e-07,Ol2B
26,25.306263242828347,1192.2976022242588,-18.98265872440064,0.3103649567688431,0.8507873343000987,0.8438637968070497,24.181767010285093,-7.300731775005055,0.21393412562424252,-7.260333245013867,-26264.54389073424,-4.444648628858788e-10,-1.7660052276276748e-07,Ol2B
27,39.78485316508632,1212.730471589565,-18.49075752755483,0.5531778783836826,0.8502481798381515,0.8425497695378276,35.42641878437473,-5.846152111947118,0.20957288903290977,-7.660372165911231,-27998.567307117082,-6.568078943539057e-10,1.469325381569983e-07,Ol2B
28,19.960605721364512,1215.8209684328788,-18.570448025373924,0.5427846139107608,0.8505836413470623,0.8434148633873845,30.985660263347928,-7.442481027917993,0.2178132576176238,-6.784861675117121,-26494.06597639791,3.421045379872346e-10,-1.5571885746012392e-06,Ol2B
29,22.636318681495435,1198.5007356023368,-18.52732039720259,0.4597290421205628,0.8508717093797897,0.8432089145900398,34.60862653504519,-6.656242533129728,0.21663992111192956,-7.3630672103081505,-26922.21589635016,1.003853271871065e-09,-2.6800017033052462e-06,Ol2B
30,46.87898808938058,1201.517558466358,-18.24011299711755,0.3812376891539862,0.8502361810082872,0.8423339743266766,37.699406725142374,-6.130798748296394,0.21215182576508948,-7.790114271876631,-27334.757670471383,-8.918223490911211e-10,5.256780821098961e-07,Ol2B
31,18.548490275567115,1216.2484131497852,-17.75317555274107,0.48616588985032616,0.8508756385294007,0.8433606809903391,37.41909654412084,-5.9991427647448505,0.2212816185931677,-7.180446723169695,-27919.051678013242,-2.582495745762699e-10,-5.434242569395579e-07,Ol2B
32,22.481944937474548,1206.4929383416952,-18.4375777178097,0.40659179969491743,0.8506046078032256,0.8437719677154958,39.55231843492668,-7.704026459407343,0.1933077340335958,-7.097500910236125,-26679.828343146215,-3.7778301981414743e-10,-2.3581849460857315e-07,Ol2B
33,25.64969589304326,1212.0634429717707,-18.688509293226147,0.38222989647234623,0.8503927589401334,0.8438137968897235,24.324978541840586,-7.3335676626592985,0.20736440543702422,-7.108682798729532,-26605.325731051984,-4.996519008040843e-10,-8.450153681918902e-08,Ol2B
34,15.5103109156974,1201.1033384460438,-18.321149667288356,0.32563980303767404,0.8501265614407162,0.84368942232033,40.37738872765752,-6.552714099112581,0.22926002590762676,-7.436893608725938,-26504.297165580716,-2.8322057479955067e-10,-5.346297119263507e-07,Ol2B
35,16.02113357584026,1198.9922025846802,-19.146048793562223,0.4043527104801894,0.8505134682455323,0.8436152941051893,43.91195284144416,-7.35098908878832,0.21189581587226708,-7.140420407954742,-26499.17821010693,2.2849984806513618e-10,-1.2828992317373217e-06,Ol2B
36,40.36649174837469,1222.1286801434544,-18.579650884112468,0.3697163697569318,0.8503024948907822,0.8422909675039503,29.91916839426858,-6.0553460083620525,0.21425008246315932,-7.388546050406869,-27807.13131010501,-9.297069114548105e-10,6.116897652206848e-07,Ol2B
37,12.15441316746705,1214.6087642555112,-18.517448466067492,0.4993793501899426,0.8507411334388428,0.8435125829190186,42.631938379989826,-6.73799917182361,0.22353634785629126,-7.5170106901494185,-26402.713440466163,-6.930478592168994e-10,1.7599946810921412e-07,Ol2B
38,12.905028312991636,1206.8188231156096,-18.75748328955401,0.3338021333922126,0.8504110064590346,0.8434554017866578,44.411091141653905,-5.887881874314814,0.24614873295809858,-7.18675204062957,-27049.720898630847,-4.034342853878302e-10,-3.990087796476339e-07,Ol2B
