,P_MPa,H2O_liq,H2O_MI
0,74.0,0.495386623403255,0.495386623403255
1,73.0,0.495299098988961,0.4953861154324028
2,72.0,0.495209143373191,0.49538434502480844
3,71.0,0.495116652279378,0.4953812947076651
4,70.0,0.495021515264268,0.49537694572185453
5,69.0,0.49492361525447,0.49537127794878427
6,68.0,0.494822828040615,0.49536426983133813
7,67.0,0.49471902172528,0.49535589828838517
8,66.0,0.494612056114813,0.4953461386222112
9,65.0,0.494501782062963,0.49533496441822494
10,64.0,0.494388040737346,0.4953223474361532
11,63.0,0.494270662823564,0.49530825749184904
12,62.0,0.494149467644617,0.49529266232879376
13,61.0,0.494024262192273,0.4952755274782049
14,60.0,0.493894840056645,0.495256816106554
15,59.0,0.493760980242861,0.4952364888491384
16,58.0,0.49362244586096,0.4952145036281909
17,57.0,0.493478982671528,0.49519081545380883
18,56.0,0.493330317469463,0.4951653762057581
19,55.0,0.493176156284747,0.49513813439395676
20,54.0,0.493016182372094,0.4951090348951238
21,53.0,0.492850053968119,0.49507801866275847
22,52.0,0.492677401775476,0.49504502240721393
23,51.0,0.492497826135281,0.49500997824210885
24,50.0,0.49231089385053,0.4949728132928295
25,49.0,0.492116134604179,0.49493344926226573
26,48.0,0.491913036900555,0.49489180194808
27,47.0,0.491701043474712,0.49484778070498386
28,46.0,0.491479546064175,0.49480128784443683
29,45.0,0.491247879471996,0.4947522179630277
30,44.0,0.49100531474729,0.4947004571891682
31,43.0,0.490751051405808,0.49464588233608275
32,42.0,0.490484208456185,0.49458835994701295
33,41.0,0.490203814074889,0.4945277452159609
34,40.0,0.489908793621058,0.4944638807641949
35,39.0,0.489597955753186,0.4943965952491133
36,38.0,0.489269976188542,0.4943257017774036
37,37.0,0.488923378793644,0.49425099608932316
38,36.0,0.488556513224489,0.4941722544735662
39,35.0,0.4881675286547,0.4940892313638788
40,34.0,0.487754342530328,0.4940016565583623
41,33.0,0.487314603420181,0.4939092319890007
42,32.0,0.486845646473946,0.4938116279526557
43,31.0,0.486344439820339,0.4937084786934568
44,30.0,0.485807519665291,0.4935993772001111
45,29.0,0.485230911235071,0.4934838690471269
46,28.0,0.484610031908661,0.4933614450647783
47,27.0,0.483939571580552,0.4932315325640265
48,26.0,0.483213344105337,0.49309348476701154
49,25.0,0.482424101108814,0.49294656799227116
50,24.0,0.481563296978489,0.49278994600779297
51,23.0,0.480620789504324,0.49262266078207084
52,22.0,0.479584455075706,0.49244360861208203
53,21.0,0.478439689021738,0.49225151025998803
54,20.0,0.477168750206116,0.4920448732464518
55,19.0,0.475749891028065,0.4918219437605778
56,18.0,0.474156189129483,0.49158064466183965
57,17.0,0.472353957849829,0.4913184946194617
58,16.0,0.47030055398477,0.49103250132508386
59,15.0,0.467941310538803,0.4907190185650602
60,14.0,0.465205180473993,0.4903735521681506
61,13.0,0.46199845428849,0.48999049252787824
62,12.0,0.458195561382179,0.48956274005967365
63,11.0,0.453625409988255,0.48908117226991893
64,10.0,0.448050865953531,0.4885338735846516
65,9.0,0.441137726134398,0.4879050069150866
66,8.0,0.43240795483696,0.4871731440948783
67,7.0,0.421170574905689,0.48630879017369016
68,6.0,0.406424138962151,0.4852707496452625
69,5.0,0.386729483313111,0.48400093523470983
70,4.0,0.360053758794867,0.48241722353254146
71,3.0,0.323527780171187,0.4804035569009478
72,2.0,0.272690177686074,0.4777930179134455
73,1.0,0.197745058650064,0.474318814866666
74,0.5,0.141187721878248,0.4721295513323047
75,0.1,0.063516469443982,0.47000367297148055
