Nested Sampling Global Log-Evidence           :   -0.416828084255522402E+01  +/-    0.961229549630424618E-01

Dim No.       Mean        Sigma
   1    0.759038113863945690E-03    0.132064354831936987E-03
   2    0.121014248834319710E+04    0.125808931264976227E+02
   3    0.906111078937730618E-03    0.937655709577379107E-04
   4    0.900359234374780328E+02    0.939074091991600857E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.600706448626521570E-03
   2    0.122091602603464548E+04
   3    0.674292788362759786E-03
   4    0.898807780912137275E+02

MAP Parameters
Dim No.        Parameter
   1    0.899346787174929493E-03
   2    0.121092631917904578E+04
   3    0.962980243537068332E-03
   4    0.892411819374238178E+02
