Nested Sampling Global Log-Evidence           :   -0.413635312566353530E+01  +/-    0.955122406141254709E-01

Dim No.       Mean        Sigma
   1    0.663086231476643721E-04    0.108033241874540488E-04
   2    0.120948339865017806E+04    0.124171544268142462E+02
   3    0.904646899346730170E-03    0.902509864332560671E-04
   4    0.890646540842072483E+02    0.954402124289963627E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.521389610610242617E-04
   2    0.120377411315924383E+04
   3    0.759532925426611690E-03
   4    0.894481488414610908E+02

MAP Parameters
Dim No.        Parameter
   1    0.827700228915887934E-04
   2    0.122134482674827746E+04
   3    0.114577587401900379E-02
   4    0.882095383724017097E+02
