,Index,Model step,Time (s),Pressure (MPa),H2O_ol boundary (ppm),H2O_melt (wt%)
0,0.0,0.0,0.0,74.0,5.338475580342951,0.593163953371439
1,1.0,100.0,492.66666666666737,73.50730048669911,5.337903952077382,0.5931004391197091
2,2.0,200.0,985.3333333333295,73.01460097339823,5.337332323811814,0.5930369248679793
3,3.0,300.0,1478.000000000002,72.52190146009734,5.336745059786844,0.5929716733096494
4,4.0,400.0,1970.6666666666754,72.02920194679645,5.336157318250886,0.5929063686945429
5,5.0,500.0,2463.3333333333485,71.53650243349557,5.335553754826305,0.5928393060918116
6,6.0,600.0,2956.000000000022,71.04380292019468,5.334949194568117,0.5927721327297908
7,7.0,700.0,3448.666666666695,70.55110340689379,5.334328629387255,0.5927031810430284
8,8.0,800.0,3941.3333333333685,70.05840389359291,5.333706502460636,0.5926340558289596
9,9.0,900.0,4434.000000000011,69.56570438029202,5.333068191562498,0.5925631323958331
10,10.0,1000.0,4926.666666666639,69.07300486699113,5.3324277042506285,0.5924919671389587
11,11.0,1100.0,5419.333333333267,68.58030535369025,5.331770858942746,0.5924189843269718
12,12.0,1200.0,5911.9999999998945,68.08760584038936,5.331111168201086,0.5923456853556762
13,13.0,1300.0,6404.666666666522,67.59490632708847,5.330434951650354,0.5922705501833727
14,14.0,1400.0,6897.33333333315,67.10220681378759,5.329755161216623,0.592195017912958
15,15.0,1500.0,7389.999999999778,66.6095073004867,5.329058684720704,0.5921176316356338
16,16.0,1600.0,7882.666666666406,66.1168077871858,5.3283578408467225,0.5920397600940802
17,17.0,1700.0,8375.333333333034,65.62410827388493,5.327640159760013,0.5919600177511125
18,18.0,1800.0,8867.999999999662,65.13140876058404,5.3269172465348325,0.5918796940594259
19,19.0,1900.0,9360.66666666629,64.63870924728315,5.326177355800392,0.5917974839778214
20,20.0,2000.0,9853.333333332917,64.14600973398227,5.325431290002148,0.5917145877780164
21,21.0,2100.0,10345.999999999545,63.65331022068138,5.32466811925388,0.5916297910282088
22,22.0,2200.0,10838.666666666173,63.16061070738049,5.323897744690117,0.5915441938544576
23,23.0,2300.0,11331.333333332801,62.66791119407961,5.323110152868501,0.5914566836520556
24,24.0,2400.0,11823.999999999429,62.175211680778716,5.322314234129764,0.5913682482366405
25,25.0,2500.0,12316.666666666057,61.68251216747783,5.321501003575256,0.5912778892861397
26,26.0,2600.0,12809.333333332685,61.18981265417695,5.32067821916694,0.5911864687963266
27,27.0,2700.0,13301.999999999312,60.697113140876056,5.319838049056081,0.5910931165617868
28,28.0,2800.0,13794.66666666594,60.20441362757517,5.31898698370086,0.59099855374454
29,29.0,2900.0,14287.333333332568,59.71171411427429,5.3181184829042625,0.5909020536560291
30,30.0,3000.0,14779.999999999196,59.219014600973395,5.317237619234569,0.5908041799149522
31,31.0,3100.0,15272.666666665824,58.72631508767251,5.316339298335287,0.5907043664816987
32,32.0,3200.0,15765.333333332452,58.233615574371626,5.315427007399661,0.5906030008221845
33,33.0,3300.0,16257.99999999908,57.740916061070735,5.314497269869652,0.5904996966521836
34,34.0,3400.0,16750.666666665707,57.24821654776985,5.313551800773326,0.5903946445303696
35,35.0,3500.0,17243.333333332335,56.755517034468966,5.312588933238248,0.5902876592486943
36,36.0,3600.0,17735.999999998963,56.262817521168074,5.311608401566962,0.590178711285218
37,37.0,3700.0,18228.66666666559,55.77011800786719,5.310610562934091,0.5900678403260101
38,38.0,3800.0,18721.33333333222,55.277418494566305,5.309592937745949,0.5899547708606611
39,39.0,3900.0,19213.999999998847,54.784718981265414,5.308558147130312,0.5898397941255902
40,40.0,4000.0,19706.666666665475,54.29201946796453,5.307501236556849,0.5897223596174277
41,41.0,4100.0,20199.333333332102,53.799319954663645,5.306427359834779,0.5896030399816422
42,42.0,4200.0,20691.99999999873,53.30662044136275,5.305328794830018,0.5894809772033354
43,43.0,4300.0,21184.66666666536,52.81392092806187,5.304213529583304,0.5893570588425894
44,44.0,4400.0,21677.333333331986,52.321221414760984,5.303070745736542,0.5892300828596158
45,45.0,4500.0,22169.999999998614,51.82852190146009,5.30191160441325,0.58910128937925
46,46.0,4600.0,22662.66666666524,51.33582238815921,5.300721821440688,0.5889690912711876
47,47.0,4700.0,23155.33333333187,50.843122874858324,5.299516112482746,0.588835123609194
48,48.0,4800.0,23647.999999998498,50.35042336155743,5.298276311222057,0.5886973679135619
49,49.0,4900.0,24140.666666665125,49.85772384825655,5.297021117862473,0.5885579019847192
50,50.0,5000.0,24633.333333331753,49.36502433495566,5.295728014066246,0.5884142237851385
51,51.0,5100.0,25125.99999999838,48.87232482165477,5.294420170334956,0.5882689078149951
52,52.0,5200.0,25618.66666666501,48.37962530835389,5.293070185013858,0.5881189094459842
53,53.0,5300.0,26111.333333331637,47.886925795053,5.291706248714036,0.5879673609682261
54,54.0,5400.0,26603.999999998265,47.39422628175211,5.2902954746354,0.5878106082928223
55,55.0,5500.0,27096.666666664893,46.90152676845123,5.2888716968693315,0.5876524107632591
56,56.0,5600.0,27589.33333333152,46.40882725515034,5.287395860332927,0.5874884289258807
57,57.0,5700.0,28081.99999999815,45.91612774184945,5.285908150816914,0.587323127868546
58,58.0,5800.0,28574.666666664776,45.423428228548566,5.284362567603806,0.587151396400423
59,59.0,5900.0,29067.333333331404,44.93072871524768,5.282806455006749,0.58697849500075
60,60.0,6000.0,29559.999999998032,44.43802920194679,5.281185980410197,0.5867984422677996
61,61.0,6100.0,30052.66666666466,43.945329688645906,5.2795565674556855,0.5866173963839652
