"Profile","Distance","SiO2 (wt%)","TiO2 (wt%)","Al2O3 (wt%)","Cr2O3 (wt%)","FeO (wt%)","MnO (wt%)","MgO (wt%)","CaO (wt%)","NiO (wt%)","P2O5 (wt%)","Total (wt%)","Fo","Fo_err","XFo","Fo_stdev","Zone"
"Ol4A",5.49432,39.8525180055242,,0.031751,0.051161,14.3307438584643,0.190132,45.8313244020738,0.244275,0.271496,0.025573,100.723,85.0762892915263,0.037580819019794,0.850762892915263,0.000375808190198,1
"Ol4A",11.0077,39.7115170075239,,0.030329,0.052469,14.3348008297254,0.185571,45.5762377388995,0.239743,0.270554,0.044694,100.338,85.001678784454,0.037660657565311,0.85001678784454,0.000376606575653,1
"Ol4A",16.5443,39.642339028707,,0.026937,0.050771,14.4866329791724,0.178273,45.4632483109939,0.240341,0.26462,0.039385,100.282,84.8349525869167,0.037942390090279,0.848349525869167,0.000379423900903,1
"Ol4A",21.9573,39.4211729611365,,0.024845,0.051109,14.642014978473,0.190288,45.3960840122476,0.238613,0.265582,0.025808,100.145,84.6780135701154,0.03819092131166,0.846780135701153,0.000381909213117,1
"Ol4A",27.4707,39.3244255231146,,0.020322,0.046464,14.7449606242236,0.195971,45.3519306152679,0.242743,0.260959,0.004087,100.081,84.5742001256333,0.038357210324037,0.845742001256333,0.00038357210324,1
"Ol4A",32.97368,39.2561631351938,,0.023706,0.050243,14.9915230526176,0.190222,44.9903447785325,0.242022,0.25791,0.052483,99.9353,84.2506800220007,0.038953839401827,0.842506800220007,0.000389538394018,1
"Ol4A",38.4871,39.1677577475586,,0.019775,0.047782,15.0729667506844,0.195773,44.7773464314101,0.245547,0.258215,0.012148,99.6749,84.115351525297,0.039192453710591,0.84115351525297,0.000391924537106,1
"Ol4A",43.9001,39.2180135145227,,0.023863,0.05334,15.0782408133238,0.198255,44.7492219959175,0.240753,0.255113,0.047499,99.7404,84.1022779047416,0.039180732083175,0.841022779047415,0.000391807320832,1
"Ol4A",49.4367,39.0820991326118,,0.018518,0.049729,15.2654700370241,0.192182,44.6519665179378,0.237263,0.257555,0.014298,99.6432,83.9072260626313,0.039506360149062,0.839072260626313,0.000395063601491,1
"Ol4A",54.9501,39.1130257584359,,0.024092,0.049299,15.2362598439441,0.198304,44.546549053434,0.235097,0.255797,0.03871,99.5694,83.9011711225419,0.039513422602696,0.839011711225419,0.000395134226027,1
"Ol4A",60.4444,39.1000040212468,,0.027002,0.056601,15.3220647861166,0.197873,44.5397637875285,0.229174,0.255476,0.087641,99.6867,83.8231075464996,0.03964520647407,0.838231075464996,0.000396452064741,1
"Ol4A",65.9618,39.021568401147,,0.029279,0.057358,15.4477294709295,0.198832,44.5061324695618,0.237208,0.255832,0.126411,99.7506,83.7017400093329,0.039870482653988,0.837017400093329,0.00039870482654,1
"Ol4A",71.4942,39.0959347283752,,0.03133,0.058631,15.3966116330395,0.19762,44.3222419298024,0.22889,0.256135,0.097449,99.5513,83.690471501192,0.03997413495577,0.83690471501192,0.000399741349558,1
"Ol4A",76.9072,39.0483240017777,,0.029689,0.058037,15.393061783186,0.193392,44.3813425792117,0.226204,0.257488,0.093751,99.5497,83.7117962397657,0.039857339979918,0.837117962397657,0.000398573399799,1
"Ol4A",82.4246,38.9591047555682,,0.030818,0.054931,15.4622331431879,0.200775,44.4254959761913,0.232208,0.2592,0.109007,99.6034,83.6641640164808,0.039934516661468,0.836641640164808,0.000399345166615,1
"Ol4A",87.9189,38.8938943373011,,0.028504,0.054743,15.4692314186133,0.196498,44.4317895561617,0.230196,0.257061,0.100792,99.5335,83.659915162975,0.039932334191093,0.836599151629749,0.000399323341911,1
"Ol4A",93.4219,39.0152609971961,,0.026081,0.054535,15.2772352536813,0.19459,44.527963325084,0.239052,0.259101,0.118408,99.5853,83.8592140254127,0.039573577780772,0.838592140254127,0.000395735777808,1
"Ol4A",98.9774,39.0846424406566,,0.025866,0.054354,15.2529948503962,0.195677,44.4967904367932,0.227587,0.261298,0.10002,99.5709,83.8712251180855,0.039577440576643,0.838712251180855,0.000395774405766,1
"Ol4A",104.3904,39.0128194214731,,0.02918,0.060834,15.268918462596,0.197418,44.5760502095451,0.22957,0.262425,0.121009,99.6323,83.8811820579136,0.039589460544072,0.838811820579136,0.000395894605441,1
"Ol4A",109.8848,39.0834216527951,,0.030727,0.058404,15.1804764891038,0.192156,44.5050507605044,0.234247,0.260189,0.089487,99.5071,83.9380914423885,0.039499994812154,0.839380914423885,0.000394999948122,1
"Ol4A",115.3981,39.1644005809396,,0.019025,0.050613,15.011199363234,0.196209,44.6184335371581,0.238411,0.261069,0.017783,99.4529,84.1227128403261,0.039218520928436,0.841227128403261,0.000392185209284,1
"Ol4A",120.9347,39.1168915866639,,0.017422,0.052695,14.8858389512657,0.190013,44.9003662523935,0.236467,0.261979,0.003796,99.5485,84.3178710350437,0.038873018818869,0.843178710350437,0.000388730188189,1
"Ol4A",126.4481,39.1478182124879,,0.017843,0.052353,14.6745721728434,0.190849,44.8494275895083,0.237085,0.265482,0.016302,99.3364,84.4910858577555,0.038602246865303,0.844910858577555,0.000386022468653,1
"Ol4A",131.9427,38.9897261844269,,0.029692,0.06521,14.6177745751878,0.188358,45.0140440406084,0.248833,0.267377,0.11287,99.4248,84.5896526914361,0.038421705437543,0.845896526914361,0.000384217054375,1
"Ol4A",137.3507,38.9391652204975,,0.035719,0.070634,14.6071250256274,0.187025,45.050133788251,0.256808,0.27132,0.179401,99.4899,84.6095894439958,0.03846630782018,0.846095894439958,0.000384663078202,1
"Ol4A",142.8637,39.0931879556869,,0.049255,0.070921,14.4494102678518,0.186011,45.1855440948011,0.249215,0.271298,0.121665,99.571,84.7891689982101,0.038118596586777,0.847891689982101,0.000381185965868,1
"Ol4A",148.4057,39.0857614961963,,0.047427,0.070159,14.4442376294938,0.180127,45.140308988764,0.251228,0.270487,0.070933,99.4546,84.7808671674173,0.038156002647,0.847808671674173,0.00038156002647,1
"Ol4A",153.9037,39.1337791520809,,0.040532,0.065454,14.4178673162966,0.182983,45.2529050679215,0.254505,0.269941,0.060452,99.5738,84.8365058189952,0.038045388256819,0.848365058189952,0.000380453882568,1
"Ol4A",159.4167,39.1365259247693,,0.032398,0.059275,14.4337909284965,0.191891,45.1153313432566,0.249803,0.274116,0.046557,99.4324,84.7830607717675,0.038189769609289,0.847830607717675,0.000381897696093,1
"Ol4A",164.8307,39.272033377393,,0.025898,0.056592,14.3677637212219,0.184637,45.2609687172586,0.24953,0.270327,0.034326,99.6159,84.8835201281332,0.037988321102667,0.848835201281332,0.000379883211027,1
"Ol4A",170.3247,39.0132263507603,,0.017539,0.051028,14.3563027774093,0.186174,45.15869804274,0.249381,0.267677,0.011708,99.2083,84.864723674653,0.038059703729211,0.84864723674653,0.000380597037292,1
"Ol4A",175.8797,39.1837297220796,,0.016535,0.050843,14.2937239957067,0.179444,45.1767920851548,0.253605,0.270253,0.006351,99.3262,84.9258786386634,0.03788605579885,0.849258786386634,0.000378860557989,1
"Ol4A",181.3747,39.2161823327305,,0.013833,0.050029,14.3607654457965,0.18325,45.2810295034141,0.259631,0.271718,0.00297,99.5347,84.8954536533911,0.037959465935273,0.848954536533911,0.000379594659353,1
