,Index,Model step,Time (s),Pressure (MPa),H2O_ol boundary (ppm),H2O_melt (wt%)
0,0.0,0.0,0.0,74.0,5.338475580342951,0.593163953371439
1,1.0,100.0,1.6422222222222183,73.26092609260927,5.337618109360326,0.593068678817814
2,2.0,200.0,3.284444444444447,72.52185218521852,5.336745001006813,0.5929716667785347
3,3.0,300.0,4.926666666666681,71.78277827782779,5.335855944262288,0.5928728826958098
4,4.0,400.0,6.568888888888915,71.04370437043704,5.3349490736439735,0.5927721192937748
5,5.0,500.0,8.211111111111137,70.30463046304631,5.334017410376659,0.5926686011529622
6,6.0,600.0,9.853333333333282,69.56555655565556,5.3330679993970875,0.5925631110441208
7,7.0,700.0,11.495555555555427,68.82648264826483,5.332100473398724,0.5924556081554139
8,8.0,800.0,13.137777777777572,68.08740874087408,5.3311109042983995,0.5923456560331555
9,9.0,900.0,14.779999999999717,67.34833483348335,5.330094750497199,0.5922327500552443
10,10.0,1000.0,16.422222222221862,66.6092609260926,5.329058334263721,0.5921175926959691
11,11.0,1100.0,18.064444444444007,65.87018701870187,5.328001218730565,0.5920001354145072
12,12.0,1200.0,19.706666666666152,65.13111311131112,5.326916812743518,0.5918796458603909
13,13.0,1300.0,21.348888888888297,64.39203920392039,5.325803837910002,0.5917559819900002
14,14.0,1400.0,22.991111111110442,63.65296529652965,5.324667579937752,0.5916297311041947
15,15.0,1500.0,24.633333333332587,62.91389138913891,5.323507515239115,0.5915008350265684
16,16.0,1600.0,26.27555555555473,62.17481748174818,5.322313597331093,0.5913681774812326
17,17.0,1700.0,27.917777777776877,61.43574357435743,5.321088911934408,0.5912321013260453
18,18.0,1800.0,29.55999999999902,60.6966696669667,5.319837283020657,0.5910930314467396
19,19.0,1900.0,31.202222222221167,59.95759575957596,5.318558077834932,0.5909508975372146
20,20.0,2000.0,32.844444444443496,59.21852185218522,5.317236738282805,0.5908040820314228
21,21.0,2100.0,34.486666666666,58.47944794479448,5.315882194866191,0.5906535772073546
22,22.0,2200.0,36.1288888888885,57.74037403740374,5.3144962297496345,0.5904995810832927
23,23.0,2300.0,37.771111111111,57.001300130013,5.313077978826963,0.5903419976474403
24,24.0,2400.0,39.4133333333335,56.26222622262226,5.311607224811281,0.5901785805345868
25,25.0,2500.0,41.055555555556,55.52315231523153,5.310100478181319,0.5900111642423688
26,26.0,2600.0,42.6977777777785,54.78407840784078,5.308556773009154,0.5898396414454615
27,27.0,2700.0,44.340000000001,54.04500450045005,5.306971354298147,0.5896634838109053
28,28.0,2800.0,45.9822222222235,53.3059305930593,5.305327256685197,0.5894808062983552
29,29.0,2900.0,47.624444444446,52.56685668566857,5.303640480457625,0.589293386717514
30,30.0,3000.0,49.2666666666685,51.82778277827783,5.301909819560305,0.5891010910622562
31,31.0,3100.0,50.908888888891,51.08870887088709,5.300125085606365,0.5889027872895961
32,32.0,3200.0,52.5511111111135,50.34963496349635,5.298274327341652,0.5886971474824058
33,33.0,3300.0,54.193333333336,49.61056105610561,5.296372432129713,0.5884858257921903
34,34.0,3400.0,55.8355555555585,48.87148714871487,5.29441787513039,0.5882686527922655
35,35.0,3500.0,57.477777777781,48.13241324132413,5.2923928296427265,0.5880436477380807
36,36.0,3600.0,59.1200000000035,47.3933393339334,5.290292934988093,0.5878103261097882
37,37.0,3700.0,60.762222222226,46.65426542654265,5.288131048030479,0.5875701164478311
38,38.0,3800.0,62.4044444444485,45.91519151915192,5.285905213915118,0.5873228015461243
39,39.0,3900.0,64.04666666667099,45.17611761176117,5.28358676180857,0.5870651957565077
40,40.0,4000.0,65.68888888889278,44.43704370437044,5.281182739136876,0.5867980821263196
41,41.0,4100.0,67.33111111111457,43.6979697969797,5.278702565586584,0.5865225072873982
42,42.0,4200.0,68.97333333333636,42.95889588958896,5.276143695745601,0.5862381884161779
43,43.0,4300.0,70.61555555555815,42.21982198219822,5.2734618605564885,0.5859402067284988
44,44.0,4400.0,72.25777777777994,41.48074807480748,5.270681264422543,0.5856312516025048
45,45.0,4500.0,73.90000000000173,40.74167416741674,5.2678057092494335,0.5853117454721594
46,46.0,4600.0,75.54222222222351,40.002600260026,5.264831242607844,0.5849812491786494
47,47.0,4700.0,77.1844444444453,39.26352635263526,5.261692523179628,0.5846325025755141
48,48.0,4800.0,78.8266666666671,38.52445244524452,5.258438004194895,0.5842708893549883
49,49.0,4900.0,80.46888888888888,37.78537853785378,5.2550630139958585,0.5838958904439843
50,50.0,5000.0,82.11111111111067,37.04630463046305,5.251549661736564,0.5835055179707294
51,51.0,5100.0,83.75333333333246,36.30723072307231,5.247836814299525,0.5830929793666139
52,52.0,5200.0,85.39555555555425,35.56815681568157,5.243974545837988,0.5826638384264431
53,53.0,5300.0,87.03777777777604,34.82908290829083,5.239956358338484,0.5822173731487205
54,54.0,5400.0,88.67999999999783,34.09000900090009,5.235741708000209,0.5817490786666898
55,55.0,5500.0,90.32222222221962,33.35093509350935,5.231280074607524,0.5812533416230582
56,56.0,5600.0,91.96444444444141,32.61186118611861,5.226621166893747,0.5807356852104163
57,57.0,5700.0,93.6066666666632,31.87278727872787,5.221755694256209,0.5801950771395787
58,58.0,5800.0,95.24888888888499,31.13371337133713,5.216605642966537,0.5796228492185042
59,59.0,5900.0,96.89111111110678,30.39463946394639,5.2111427425474295,0.5790158602830477
60,60.0,6000.0,98.53333333332857,29.655565556555658,5.205412229622233,0.5783791366246925
61,61.0,6100.0,100.17555555555036,28.916491649164918,5.199400389764305,0.5777111544182562
62,62.0,6200.0,101.81777777777215,28.17741774177418,5.1929655576290426,0.5769961730698937
