"","(Intercept)","lnfO2","T_i"
"(Intercept)",2.23666167939661,-0.0379360497554056,-3984.6274285291
"lnfO2",-0.0379360497554056,0.00190644166730534,91.1320695469665
"T_i",-3984.6274285291,91.1320695469665,7575036.50835069
