Nested Sampling Global Log-Evidence           :   -0.136310009019062637E+02  +/-    0.113072297302814970E+00

Dim No.       Mean        Sigma
   1    0.736575578868639695E+02    0.826695472806759852E+02
   2    0.120434262023542237E+04    0.126296668740823161E+02
   3   -0.185961721337067267E+02    0.465521459752750388E+00
   4    0.387973983459681759E+00    0.874526843511463786E-01
   5    0.199375243450714974E+06    0.132652270471207466E+05
   6    0.850737441094185587E+00    0.170340380330119773E-03
   7    0.843462687796209476E+00    0.307423688507369580E-03
   8    0.244408607253472567E+02    0.112407606778520979E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.487082921413347236E+02
   2    0.119355150946186336E+04
   3   -0.188485184445475440E+02
   4    0.459176646393904431E+00
   5    0.206341914476541278E+06
   6    0.850796778718047264E+00
   7    0.843783491874154801E+00
   8    0.356697190069102845E+02

MAP Parameters
Dim No.        Parameter
   1    0.487082921413347236E+02
   2    0.119355150946186336E+04
   3   -0.188485184445475440E+02
   4    0.459176646393904431E+00
   5    0.206341914476541278E+06
   6    0.850796778718047264E+00
   7    0.843783491874154801E+00
   8    0.356697190069102845E+02
