,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.0001502953250200548,0.00011953677041687431,0.00019064447552300074,9.816653247987418e-05,0.0002550115781534572,3.07585546031805e-05,4.0349150502945924e-05,SW_7_2_1
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.0002536749264699278,0.00020196627536753743,0.0003137167830628424,0.00016259878681764735,0.00040882383641817485,5.1708651102390374e-05,6.004185659291459e-05,SW_7_3_1
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.00022581844243821378,0.00018364458347231002,0.00027514134906868245,0.00015223417145408282,0.00034061534616521125,4.217385896590375e-05,4.932290663046867e-05,SW_7_3_2
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.0003441793875824107,0.0002569127703628776,0.00048182215540148733,0.00020351326256210222,0.0007303747820980163,8.72666172195331e-05,0.00013764276781907665,SW_7_4_1
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.00033654628370605595,0.0002726414783606164,0.0004184713679911366,0.00022175262895845238,0.0005311978775256775,6.390480534543952e-05,8.192508428508065e-05,SW_7_6_1
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.00013583780281445156,0.00010059738723342057,0.0001896806866352117,7.812639642639779e-05,0.0002767139257507751,3.5240415581030995e-05,5.384288382076014e-05,SW_7_10_1
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.00018433697077689545,0.00015201810028858385,0.00022401074655307768,0.0001290406912515359,0.00027567393541945044,3.23188704883116e-05,3.9673775776182224e-05,K97_23_4_1
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,8.240672155675027e-05,6.683313220048155e-05,0.00010131025865892795,5.600735033303649e-05,0.00012512838015046976,1.5573589356268725e-05,1.890353710217768e-05,K97_23_5_1
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.00023846328512537972,0.00020006041936954715,0.0002890751289272429,0.0001673927574257958,0.00034701598281875373,3.840286575583257e-05,5.06118438018632e-05,K97_23_8_1
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.00010647869368365192,9.057745528194062e-05,0.00012890221245270592,7.686483106346913e-05,0.00015107978504287596,1.5901238401711305e-05,2.2423518769054e-05,K97_23_10_1
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,9.856195428476885e-05,7.958819845261805e-05,0.0001212608377262122,6.496094585638058e-05,0.00014727402631025554,1.8973755832150797e-05,2.269888344144335e-05,K97_23_16_3
,Median,1 sigma low,1 sigma high,2 sigma low,2 sigma high,1sigma error low,1sigma error high,Profile
0,0.0001464035316941353,0.00011316642770824673,0.0001907291398689291,9.090862540584489e-05,0.0002468282258365936,3.323710398588858e-05,4.432560817479379e-05,K97_23_17_1
