,dpdt,T,Kd,MI_radius,Profile
0,0.00029738704407702765,1210.8536338360304,0.0009006940718440524,87.53769229917114,SW_7_2_1
,dpdt,T,Kd,MI_radius,Profile
0,0.0005968852973288152,1210.9334777044196,0.0009060808943550782,56.33422801054269,SW_7_3_1
,dpdt,T,Kd,MI_radius,Profile
0,0.0005220392110688052,1207.5494255501787,0.0008998519431440341,59.068558255044266,SW_7_3_2
,dpdt,T,Kd,MI_radius,Profile
0,0.0005114069749021312,1210.3182283837189,0.0009161045104494141,74.50873254211294,SW_7_4_1
,dpdt,T,Kd,MI_radius,Profile
0,0.0008529801878387857,1209.9922692067423,0.0008982064277913192,42.76830712288278,SW_7_6_1
,dpdt,T,Kd,MI_radius,Profile
0,0.0013297525920749583,1209.3141412283655,0.0008968251424656952,66.96868236945951,SW_7_7_1
,dpdt,T,Kd,MI_radius,Profile
0,0.0007688191309309513,1209.048708918433,0.0009100039530856256,71.84294076575371,SW_7_8_1
,dpdt,T,Kd,MI_radius,Profile
0,0.00020538213706239786,1212.4242117365968,0.0009073016291335547,119.22480474502227,SW_7_10_1
,dpdt,T,Kd,MI_radius,Profile
0,0.000263473874667524,1208.111155694272,0.0009107487708231528,115.88251535868594,K97_23_1_1_1
,dpdt,T,Kd,MI_radius,Profile
0,0.0004621921248017279,1211.9334942059088,0.0009098511263331931,61.31918606241485,K97_23_4_1
,dpdt,T,Kd,MI_radius,Profile
0,0.00018632631649535667,1210.3865376332026,0.0008917762174870963,100.36493670899556,K97_23_5_1
,dpdt,T,Kd,MI_radius,Profile
0,0.0006080549493475522,1208.4090113410566,0.0009133328292313625,50.63427863800577,K97_23_8_1
,dpdt,T,Kd,MI_radius,Profile
0,0.0003167148263666941,1208.8485013654345,0.0009085295804130888,61.534860042234925,K97_23_10_1
,dpdt,T,Kd,MI_radius,Profile
0,0.00022251228873727594,1209.5028607855859,0.0009015601926051419,143.10071239598312,K97_23_16_1
,dpdt,T,Kd,MI_radius,Profile
0,0.00045609747715707864,1210.772428849813,0.000910483849107873,101.59242287900808,K97_23_16_2
,dpdt,T,Kd,MI_radius,Profile
0,0.0002310402302891904,1207.928125410349,0.0009223667386549419,90.67359921428414,K97_23_16_3
,dpdt,T,Kd,MI_radius,Profile
0,0.00028336170217264266,1211.1538886945814,0.0009108996498529295,90.9094780005188,K97_23_17_1
