"","(Intercept)","lnfO2","T_i"
"(Intercept)",6.34857556488534,-0.105866424706047,-11227.7875280018
"lnfO2",-0.105866424706047,0.0109570978704963,350.568659944004
"T_i",-11227.7875280018,350.568659944004,22902546.0850325
