,dpdt,T,Kd,MI_radius,Profile
0,0.0011232182553003167,1192.3055271363753,0.0009049905060321505,114.68050730771793,K97_23_1_1_1
1,0.0011441504184872852,1202.2224493090425,0.0008355891783036375,113.73888032978806,K97_23_1_1_1
2,0.0013287889296472626,1216.0500932214372,0.0008911595341036489,114.43105700607562,K97_23_1_1_1
3,0.0008825324564613246,1180.4362816261362,0.0007695639036864597,115.77665181821939,K97_23_1_1_1
4,0.0011188106696866063,1195.3366562795363,0.0008492535307586126,114.87233460577802,K97_23_1_1_1
5,0.0014748242587702856,1222.0656300071132,0.0009079668058160239,116.32077759628835,K97_23_1_1_1
6,0.0017301275325431085,1221.9478455642845,0.0010246072448345717,115.36839845288078,K97_23_1_1_1
7,9.715121032643474,1205.2521883381044,0.0008454503410399021,112.66707133853389,K97_23_1_1_1
8,9.26138116073227,1198.705754519885,0.0009277685626153997,114.6641642681058,K97_23_1_1_1
9,9.001496329048704,1210.5145120842499,0.0008965369573541236,115.00362147662383,K97_23_1_1_1
10,8.576545897233668,1200.3590430336878,0.0009096901679760926,113.84988656988233,K97_23_1_1_1
11,8.534462718906838,1211.2931598454704,0.0009005520306341589,115.26755158854296,K97_23_1_1_1
12,6.311065836536515,1184.7375724494634,0.0008139369333095643,116.02248212674323,K97_23_1_1_1
13,9.81215828547264,1226.1968016964113,0.0009405142578588389,114.2517631894075,K97_23_1_1_1
14,7.717572815955389,1210.5324772616639,0.0009126620548881952,112.84849452468883,K97_23_1_1_1
15,8.985292491393565,1234.898559710688,0.0009552204455813274,113.93114689387963,K97_23_1_1_1
16,7.815714181614395,1201.417777836917,0.0010957719878054494,114.14535862846395,K97_23_1_1_1
17,7.461712251108167,1219.0167591228862,0.0009244434529005518,113.50390816905053,K97_23_1_1_1
18,6.99205714439267,1204.0776148485634,0.0010180330815341076,115.70962783063074,K97_23_1_1_1
19,6.332757046752669,1212.2805728273613,0.000909774473091396,114.62342223893494,K97_23_1_1_1
20,6.322608487968805,1205.1924745051715,0.0009808362607786885,114.48154790959825,K97_23_1_1_1
21,5.187854112750448,1188.866799961587,0.0009101482261884228,113.46865110954897,K97_23_1_1_1
22,4.757817085457031,1199.1738527130162,0.000801770915410756,114.91316894477924,K97_23_1_1_1
23,6.995904372419007,1209.2280682971514,0.0011115060610786124,114.83168747201566,K97_23_1_1_1
24,6.498216978199924,1205.1360042014032,0.0010584885260951852,114.24296114518339,K97_23_1_1_1
25,4.940022463788864,1193.1586869671207,0.0008498630244195356,112.48652379976441,K97_23_1_1_1
26,5.839517606479128,1218.6364034220928,0.0008821386812476952,114.58684290419713,K97_23_1_1_1
27,5.937733695116084,1218.0325040025364,0.0009411261815532803,116.69317745130958,K97_23_1_1_1
28,6.0456383673403975,1203.1318696150463,0.0010418739065795692,113.93983341089073,K97_23_1_1_1
29,5.342019618978442,1214.7410458451395,0.0008908197362965667,116.56115678727868,K97_23_1_1_1
30,7.774281928596828,1234.9937672570607,0.001086824705274065,113.08388377593772,K97_23_1_1_1
31,4.945786045378406,1213.0769894525047,0.000855843390682636,116.12194935472075,K97_23_1_1_1
32,3.865765009146864,1175.1600884854709,0.0008764991876148675,115.73249542545986,K97_23_1_1_1
33,4.332521080463717,1188.0968788073233,0.0009027619096129389,115.87000947701897,K97_23_1_1_1
34,4.841675194073584,1197.2179416758017,0.0009204061609655598,114.15768658848691,K97_23_1_1_1
35,4.405447598713249,1188.0621414548068,0.0009455991273277509,116.29797165510523,K97_23_1_1_1
36,5.201188577366538,1218.8582726794884,0.000925637884124107,116.48847192028414,K97_23_1_1_1
37,4.467263035423871,1204.7490605722983,0.0009153819559676341,114.91088710530352,K97_23_1_1_1
38,4.176169178356151,1195.3749405436217,0.000941251184038815,115.47178292162252,K97_23_1_1_1
39,3.885121302029878,1178.9118155766057,0.0010038892556300022,114.3780745050332,K97_23_1_1_1
40,5.488784803575233,1227.4474311338458,0.0010467611990606464,114.34861785460913,K97_23_1_1_1
41,4.623454449038072,1208.661908897356,0.001008913536129558,114.05688052950663,K97_23_1_1_1
42,2.6113315202508645,1182.407250794407,0.0007210093374573233,114.7210596519137,K97_23_1_1_1
43,3.983388161527541,1243.3979728522809,0.0007366490657723498,114.58016006523223,K97_23_1_1_1
44,3.443035719807092,1196.5105422869376,0.0009061852698217842,116.29053707648491,K97_23_1_1_1
45,4.222886392956916,1240.3484802830521,0.0008149190258860565,114.74008026720844,K97_23_1_1_1
46,3.532850559298863,1194.2276115967243,0.0009127130979985547,112.87607179467348,K97_23_1_1_1
47,4.098870368593212,1208.9400632506022,0.0010649051860025264,113.08871335779463,K97_23_1_1_1
48,3.4740597847245076,1214.6809756907621,0.0009113264883887516,114.31215564844143,K97_23_1_1_1
49,3.692790578431582,1208.2739946331326,0.0010362447059313008,112.85412112594906,K97_23_1_1_1
50,3.296662686056106,1223.2679507627076,0.0009326361796327759,115.06634471882037,K97_23_1_1_1
51,3.1695425738066505,1214.5885578083269,0.000996739619944597,116.74759271695855,K97_23_1_1_1
52,2.95097126832201,1215.0204448763554,0.0009005450831186409,114.74593706864411,K97_23_1_1_1
53,3.1069507269494556,1211.5498482808403,0.0009909285669166253,114.4816691091935,K97_23_1_1_1
54,2.926899266937152,1214.9350423506658,0.0009327364794525985,113.76551165871821,K97_23_1_1_1
55,2.860857583508528,1218.284028562309,0.0009157090292657834,114.5212829310841,K97_23_1_1_1
56,2.571416714043299,1223.9197191162057,0.0008420706340007778,115.70077338164367,K97_23_1_1_1
