Nested Sampling Global Log-Evidence           :   -0.409730725876506874E+01  +/-    0.951915174006464082E-01

Dim No.       Mean        Sigma
   1    0.519134422262019696E-04    0.940681592291442313E-05
   2    0.121246414698531362E+04    0.110527288621114188E+02
   3    0.888640757580490747E-03    0.907394984773493904E-04
   4    0.142612855723444085E+03    0.909797325977052096E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.421222922200973571E-04
   2    0.120542289808380565E+04
   3    0.793855089267950231E-03
   4    0.144151391325596137E+03

MAP Parameters
Dim No.        Parameter
   1    0.562270553720033511E-04
   2    0.120007278161607042E+04
   3    0.958302322336674673E-03
   4    0.143319179715284974E+03
