"Profile","Distance","SiO2 (wt%)","TiO2 (wt%)","Al2O3 (wt%)","Cr2O3 (wt%)","FeO (wt%)","MnO (wt%)","MgO (wt%)","CaO (wt%)","NiO (wt%)","P2O5 (wt%)","Total (wt%)","Fo","Fo_err","XFo","Fo_stdev","Zone"
"Ol13A",5.99183,39.2559,,0.072603,0.054593,12.9074,0.166663,45.9631,0.207282,0.24966,0.003902,98.881103,86.390087667885,0.035771485023453,0.86390087667885,0.000357714850235,1
"Ol13A",18.0034,39.3532,,0.071546,0.063318,12.0831,0.158596,46.5404,0.192221,0.287308,0.005204,98.754893,87.2867001626455,0.034169658928619,0.872867001626455,0.000341696589286,1
"Ol13A",23.997,39.4753,,0.071738,0.063286,11.7084,0.142005,46.7695,0.196483,0.304429,0.003829,98.73497,87.6853065656267,0.033463137856259,0.876853065656267,0.000334631378563,1
"Ol13A",30.088,39.3169,,0.06881,0.067299,11.4432,0.144167,46.9581,0.194586,0.315807,0.005467,98.514336,87.9732187855712,0.032970248255801,0.879732187855712,0.000329702482558,1
"Ol13A",36.0816,39.4756,,0.069672,0.072189,11.1663,0.136187,47.407,0.194432,0.328493,0.006172,98.856045,88.3284298434356,0.032321457446244,0.883284298434356,0.000323214574462,1
"Ol13A",42.0828,39.3402,,0.07128,0.074874,10.8681,0.13728,47.5588,0.190889,0.336995,0.007282,98.5857,88.636843787544,0.031732648514812,0.88636843787544,0.000317326485148,1
"Ol13A",54.0962,39.4491,,0.070022,0.077775,10.6031,0.137688,48.0622,0.190695,0.351825,0.004921,98.947326,88.9867270956615,0.031184565947285,0.889867270956615,0.000311845659473,1
"Ol13A",60.088,39.4537,,0.069861,0.078248,10.5029,0.133282,48.2083,0.185195,0.350494,0.00673,98.98871,89.10892890305,0.030946414025607,0.8910892890305,0.000309464140256,1
"Ol13A",66.0984,39.3935,,0.065693,0.079269,10.2993,0.137925,47.969,0.185358,0.355068,0.004225,98.489338,89.2498064672996,0.030698586622229,0.892498064672996,0.000306985866222,1
"Ol13A",72.0996,39.378,,0.064965,0.079373,10.2858,0.134131,48.2191,0.190365,0.359894,0.008541,98.720169,89.3121252566574,0.030570570879448,0.893121252566574,0.000305705708794,1
"Ol13A",78.1827,39.4277,,0.064956,0.07883,10.2111,0.130039,48.1764,0.184881,0.357384,0.007529,98.638819,89.3730919138599,0.030481554115347,0.893730919138599,0.000304815541153,1
"Ol13A",84.1839,39.3206,,0.06541,0.076708,10.1858,0.12497,48.2529,0.194428,0.360093,0.006996,98.587905,89.411660858384,0.030383565417516,0.89411660858384,0.000303835654175,1
"Ol13A",90.1775,39.399,,0.063014,0.077322,10.1634,0.132337,48.5259,0.19362,0.362465,0.005795,98.922853,89.4856858978811,0.030164301191483,0.894856858978811,0.000301643011915,1
"Ol13A",96.1787,39.4948,,0.064783,0.075519,10.1457,0.129278,48.5381,0.190391,0.36181,0.009223,99.009604,89.5044364429863,0.030146675795031,0.895044364429862,0.00030146675795,1
"Ol13A",102.189,39.308,,0.062708,0.082187,10.1125,0.129068,48.4525,0.188614,0.363718,0.00912,98.708415,89.51863701176,0.030116747275784,0.8951863701176,0.000301167472758,1
"Ol13A",108.183,39.3815,,0.061476,0.078435,10.1184,0.132689,48.7539,0.190347,0.361663,0.009694,99.088104,89.5712324435254,0.030019842898817,0.895712324435254,0.000300198428988,1
"Ol13A",114.184,39.1807,,0.060057,0.078128,10.1583,0.133087,48.4495,0.185075,0.363927,0.014061,98.622835,89.4755790858216,0.03026908813122,0.894755790858216,0.000302690881312,1
"Ol13A",120.267,39.2575,,0.060574,0.080358,10.1245,0.12896,48.695,0.193483,0.360554,0.015736,98.916665,89.5542985893929,0.030059176659172,0.895542985893928,0.000300591766592,1
"Ol13A",126.268,39.1911,,0.059503,0.081313,10.1563,0.132087,48.6425,0.188135,0.363377,0.009011,98.823326,89.5148061351997,0.03023935061794,0.895148061351997,0.000302393506179,1
"Ol13A",132.279,39.1606,,0.061839,0.079364,10.1132,0.130186,48.5616,0.188961,0.365724,0.010663,98.672137,89.5390732779769,0.03019142758577,0.895390732779769,0.000301914275858,1
"Ol13A",138.271,39.1088,,0.060731,0.077508,10.082,0.130366,48.509,0.186986,0.3625,0.012183,98.530074,89.557848732224,0.030122066062582,0.89557848732224,0.000301220660626,1
"Ol13A",144.274,39.0576,,0.059683,0.079681,10.1357,0.129138,48.5624,0.192996,0.367808,0.009757,98.594763,89.5183937102873,0.030189428558224,0.895183937102873,0.000301894285582,1
"Ol13A",150.286,39.1296,,0.06054,0.07865,10.1264,0.125962,48.5085,0.181741,0.368279,0.014665,98.594337,89.5165868026726,0.030199592994038,0.895165868026726,0.00030199592994,1
"Ol13A",156.285,39.0656,,0.058582,0.079378,10.1257,0.124421,48.4757,0.190605,0.367965,0.008679,98.49663,89.5108865720602,0.030182953031492,0.895108865720602,0.000301829530315,1
"Ol13A",162.277,39.0814,,0.062014,0.084587,10.1887,0.128816,48.7508,0.191967,0.372192,0.017353,98.877829,89.5057821352545,0.030202016543562,0.895057821352545,0.000302020165436,1
"Ol13A",174.361,38.8944,,0.059737,0.079965,10.1296,0.126658,48.5972,0.1913,0.368536,0.006296,98.453692,89.5307574072126,0.030109873203479,0.895307574072126,0.000301098732035,1
"Ol13A",180.375,38.919,,0.060779,0.080561,10.0872,0.13026,48.53,0.184796,0.371405,0.003014,98.367015,89.5570741745293,0.030048032231839,0.895570741745293,0.000300480322318,1
"Ol13A",186.374,38.9589,,0.062893,0.077801,10.0991,0.13324,48.5972,0.191052,0.368805,0.004502,98.493493,89.5589887794157,0.03000363920998,0.895589887794157,0.0003000363921,1
"Ol13A",192.366,38.9754,,0.064478,0.081445,10.1159,0.135463,48.5086,0.186046,0.367883,0.002116,98.437331,89.526337808848,0.030078440992917,0.89526337808848,0.000300784409929,1
"Ol13A",198.369,39.0089,,0.063805,0.080532,10.1083,0.132394,48.7721,0.187234,0.370101,0.00558,98.728946,89.5840407763482,0.029932268933969,0.895840407763482,0.00029932268934,1
"Ol13A",210.371,38.7989,,0.062152,0.082902,10.0824,0.130405,48.838,0.184314,0.369404,0.006639,98.555116,89.6205227436226,0.029881019852283,0.896205227436226,0.000298810198523,1
"Ol13A",216.481,39.003,,0.060535,0.08186,10.1501,0.131078,48.8271,0.185695,0.37283,0.005673,98.817871,89.556017859332,0.030008052421557,0.89556017859332,0.000300080524216,1
"Ol13A",222.456,38.9872,,0.060299,0.079559,10.155,0.131034,48.6434,0.182715,0.370246,0.00304,98.612493,89.5161811667552,0.030084083971303,0.895161811667551,0.000300840839713,1
"Ol13A",228.457,38.9836,,0.059226,0.081527,10.1534,0.134347,48.7659,0.186426,0.368948,0.003484,98.736858,89.5412375129907,0.029996082784351,0.895412375129907,0.000299960827844,1
"Ol13A",240.47,38.9655,,0.058812,0.08075,10.1441,0.128375,48.817,0.186024,0.371679,0.002363,98.754603,89.5596129522676,0.030038910312335,0.895596129522676,0.000300389103123,1
"Ol13A",246.462,39.0646,,0.059073,0.082352,10.1425,0.128115,48.7056,0.181206,0.370678,0.004211,98.738335,89.5397092843871,0.030060904625223,0.895397092843871,0.000300609046252,1
"Ol13A",252.476,39.1341,,0.056168,0.082869,10.1516,0.133607,48.6223,0.185823,0.372412,0.007608,98.746487,89.5152520753592,0.030127649982376,0.895152520753592,0.000301276499824,1
