"T_C","P_kbar","fe3_fet","time_days","C0","C1","step_microns","lnfO2_bar"
1225,0.74,0,0.1,0.861,0.893,0.1,-18.0975271278429
15,0.1,0,3000,0.865,0.897,60,0.5
