Nested Sampling Global Log-Evidence           :   -0.423070763070483213E+01  +/-    0.969680940563606014E-01

Dim No.       Mean        Sigma
   1    0.198359080027798085E-03    0.331379599165988905E-04
   2    0.121020235484787054E+04    0.128134656891199938E+02
   3    0.904871489351929655E-03    0.897467422304723192E-04
   4    0.424678536893817835E+02    0.950792563862653317E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.157131015553678270E-03
   2    0.118883288549369627E+04
   3    0.805780182960358208E-03
   4    0.415420070993006618E+02

MAP Parameters
Dim No.        Parameter
   1    0.198137006248419266E-03
   2    0.122148819824764246E+04
   3    0.766741091823976411E-03
   4    0.423418622918117933E+02
