"","(Intercept)","lnfO2","T_i"
"(Intercept)",1.12251355097545,-0.0187172176977854,-2003.89583160621
"lnfO2",-0.0187172176977854,0.000914460321807592,44.8677626337541
"T_i",-2003.89583160621,44.8677626337541,3812894.59636717
