"","(Intercept)","lnfO2","XFo","T_i","P_Pa","T_i:P_Pa"
"(Intercept)",0.497039964543917,0.00363381377240425,-0.132319267271482,-378.453948506284,-2.76790679156379e-11,2.69463943024172e-08
"lnfO2",0.00363381377240425,0.000431162727069159,0.00107609125043613,10.2162808414763,-6.40646254133509e-13,-1.98771926260489e-10
"XFo",-0.132319267271482,0.00107609125043613,0.149124060624799,51.0034229198428,-1.46324714807073e-13,-4.70997758933153e-09
"T_i",-378.453948506284,10.2162808414763,51.0034229198428,839580.703219708,1.33015759093729e-08,-3.94295445360981e-05
"P_Pa",-2.76790679156379e-11,-6.40646254133509e-13,-1.46324714807073e-13,1.33015759093729e-08,2.33230090554607e-19,-3.91323758633186e-16
"T_i:P_Pa",2.69463943024172e-08,-1.98771926260489e-10,-4.70997758933153e-09,-3.94295445360981e-05,-3.91323758633186e-16,6.61290384810696e-13
