,P_MPa,H2O_liq,H2O_MI
0,74.0,0.495386623403255,0.495386623403255
1,73.0,0.495299098988961,0.49538832140302097
2,72.0,0.495209143373191,0.4953860428308379
3,71.0,0.495116652279378,0.495379853243802
4,70.0,0.495021515264268,0.4953698105955359
5,69.0,0.49492361525447,0.49535596528887477
6,68.0,0.494822828040615,0.49533836020491173
7,67.0,0.49471902172528,0.4953170307074935
8,66.0,0.494612056114813,0.4952920046219886
9,65.0,0.494501782062963,0.49526330218717346
10,64.0,0.494388040737346,0.49523093597864676
11,63.0,0.494270662823564,0.49519491080196376
12,62.0,0.494149467644617,0.4951552235535804
13,61.0,0.494024262192273,0.4951118630472215
14,60.0,0.493894840056645,0.4950648098030147
15,59.0,0.493760980242861,0.4950140357963024
16,58.0,0.49362244586096,0.49495950416262785
17,57.0,0.493478982671528,0.49490116885485774
18,56.0,0.493330317469463,0.4948389742478069
19,55.0,0.493176156284747,0.49477285468508164
20,54.0,0.493016182372094,0.49470273396200726
21,53.0,0.492850053968119,0.49462852473768676
22,52.0,0.492677401775476,0.49455012786817476
23,51.0,0.492497826135281,0.494467431651365
24,50.0,0.49231089385053,0.49438031097292884
25,49.0,0.492116134604179,0.4942886263410479
26,48.0,0.491913036900555,0.4941922227954074
27,47.0,0.491701043474712,0.494090928673779
28,46.0,0.491479546064175,0.49398455421669224
29,45.0,0.491247879471996,0.4938728899876858
30,44.0,0.49100531474729,0.49375570508218525
31,43.0,0.490751051405808,0.493632745093765
32,42.0,0.490484208456185,0.4935037298009913
33,41.0,0.490203814074889,0.4933683505311033
34,40.0,0.489908793621058,0.49322626714839224
35,39.0,0.489597955753186,0.49307710460545456
36,38.0,0.489269976188542,0.4929204489827727
37,37.0,0.488923378793644,0.4927558429284908
38,36.0,0.488556513224489,0.4925827803898685
39,35.0,0.4881675286547,0.4924007005055045
40,34.0,0.487754342530328,0.4922089804993985
41,33.0,0.487314603420181,0.49200692738118507
42,32.0,0.486845646473946,0.49179376821203047
43,31.0,0.486344439820339,0.49156863863681244
44,30.0,0.485807519665291,0.4913305693101947
45,29.0,0.485230911235071,0.49107846974828223
46,28.0,0.484610031908661,0.4908111090146391
47,27.0,0.483939571580552,0.49052709248545145
48,26.0,0.483213344105337,0.4902248337271008
49,25.0,0.482424101108814,0.48990252023394426
50,24.0,0.481563296978489,0.4895580713904885
51,23.0,0.480620789504324,0.4891890865047071
52,22.0,0.479584455075706,0.4887927800462185
53,21.0,0.478439689021738,0.48836590023483567
54,20.0,0.477168750206116,0.4879046257436132
55,19.0,0.475749891028065,0.4874044333096852
56,18.0,0.474156189129483,0.4868599262176503
57,17.0,0.472353957849829,0.48626460949987427
58,16.0,0.47030055398477,0.48561059160102876
59,15.0,0.467941310538803,0.48488818312657866
60,14.0,0.465205180473993,0.484085349432203
61,13.0,0.46199845428849,0.48318695249842736
62,12.0,0.458195561382179,0.4821736844340725
63,11.0,0.453625409988255,0.48102054324862303
64,10.0,0.448050865953531,0.4796946209721277
65,9.0,0.441137726134398,0.47815185085465867
66,8.0,0.43240795483696,0.4763321800425971
67,7.0,0.421170574905689,0.47415239667601633
68,6.0,0.406424138962151,0.47149559575167155
69,5.0,0.386729483313111,0.46819615306773077
70,4.0,0.360053758794867,0.46401912072702317
71,3.0,0.323527780171187,0.4586317243297068
72,2.0,0.272690177686074,0.451553913911194
73,1.0,0.197745058650064,0.44201074994107153
74,0.5,0.141187721878248,0.43594744762444393
75,0.1,0.063516469443982,0.42999753422467385
