Nested Sampling Global Log-Evidence           :   -0.423423684225763264E+01  +/-    0.964381390010479039E-01

Dim No.       Mean        Sigma
   1    0.108901129374514350E-03    0.189423105534061611E-04
   2    0.121090310548204798E+04    0.114348058110247290E+02
   3    0.892698775065768331E-03    0.890357600808597331E-04
   4    0.609997268418115510E+02    0.931313094870577007E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.117060146328453959E-03
   2    0.121788816195753498E+04
   3    0.943451342700271146E-03
   4    0.614004466565786515E+02

MAP Parameters
Dim No.        Parameter
   1    0.963734534949888558E-04
   2    0.119706367280927293E+04
   3    0.964943752655619802E-03
   4    0.601219106077560355E+02
