,P_MPa,H2O_liq,H2O_MI
0,74.0,0.593163953371439,0.593163953371439
1,73.0,0.593035042645905,0.5932684628070117
2,72.0,0.592902498136841,0.5933432696232297
3,71.0,0.592766160754304,0.5933916495569107
4,70.0,0.592625861825235,0.5934164445539732
5,69.0,0.592481422354618,0.5934201162083249
6,68.0,0.592332652223297,0.5934047923647973
7,67.0,0.592179349310719,0.5933723077393166
8,66.0,0.592021298532402,0.5933242393005383
9,65.0,0.591858270785229,0.5932619370622683
10,64.0,0.591690021786464,0.5931865508527513
11,63.0,0.591516290797412,0.5930990535540976
12,62.0,0.591336799214758,0.5930002612412298
13,61.0,0.591151249021699,0.5928908505940651
14,60.0,0.590959321052026,0.5927713739059004
15,59.0,0.590760673116652,0.5926422719708249
16,58.0,0.590554937862653,0.5925038850914711
17,57.0,0.590341720437066,0.5923564624152132
18,56.0,0.590120595876284,0.5922001697795948
19,55.0,0.589891106172526,0.5920350962170421
20,54.0,0.589652757026663,0.5918612592477637
21,53.0,0.589405014183385,0.5916786090670231
22,52.0,0.589147299329715,0.5914870317121732
23,51.0,0.588878985470063,0.5912863512771068
24,50.0,0.588599391738157,0.5910763312254591
25,49.0,0.588307777487073,0.5908566748343937
26,48.0,0.588003335601174,0.590627024783645
27,47.0,0.587685184941041,0.5903869618933434
28,46.0,0.587352361723336,0.5901360029951195
29,45.0,0.587003809586614,0.5898735978944931
30,44.0,0.586638368322538,0.5895991253718001
31,43.0,0.586254760875398,0.5893118881475958
32,42.0,0.585851578345614,0.5890111067065956
33,41.0,0.58542726264755,0.5886959118484697
34,40.0,0.584980086404139,0.588365335801647
35,39.0,0.584508129491806,0.5880183016928631
36,38.0,0.58400925165205,0.5876536111174195
37,37.0,0.583481060263677,0.5872699294918755
38,36.0,0.582920872463802,0.5868657688029253
39,35.0,0.582325670208232,0.5864394672721531
40,34.0,0.581692046862383,0.5859891653389424
41,33.0,0.581016143366542,0.5855127772244096
42,32.0,0.580293571580121,0.5850079571555203
43,31.0,0.579519321650104,0.5844720590910052
44,30.0,0.578687649717311,0.5839020885025019
45,29.0,0.577791940538132,0.5832946443642566
46,28.0,0.576824538846349,0.5826458490020281
47,27.0,0.575776540704581,0.581951262794709
48,26.0,0.574637533689649,0.5812057798340975
49,25.0,0.573395271014964,0.5804034994784318
50,24.0,0.572035259766339,0.57953756716058
51,23.0,0.570540236307786,0.5785999756657041
52,22.0,0.568889492770209,0.5775813151821723
53,21.0,0.567058004556777,0.5764704564049886
54,20.0,0.565015290325017,0.5752541453856507
55,19.0,0.56272390889099,0.5739164810327676
56,18.0,0.560137459496676,0.5724382352081845
57,17.0,0.557197897856409,0.570795959906682
58,16.0,0.553831903990342,0.5689608041685953
59,15.0,0.549945932009064,0.5668969326567356
60,14.0,0.545419428873607,0.5645593951044232
61,13.0,0.540095528674607,0.5618912379111737
62,12.0,0.533768329642614,0.5588195744745107
63,11.0,0.526165713633309,0.5552502438984767
64,10.0,0.516926749622516,0.5510606085622548
65,9.0,0.505573381465092,0.5460900210658254
66,8.0,0.491477793448197,0.5401276265283793
67,7.0,0.473829508191565,0.5328975636485147
68,6.0,0.45160719692216,0.524042194341922
69,5.0,0.423549963643061,0.5131038526188638
70,4.0,0.388081487712497,0.4995020914749323
71,3.0,0.34302946600417,0.48249042397547454
72,2.0,0.284644927784052,0.46103590570842157
73,1.0,0.203535750507325,0.4333820969054351
74,0.5,0.144367902132183,0.416414045162889
75,0.1,0.064554640660714,0.39998578552476666
