,P_MPa,H2O_liq,H2O_MI
0,74.0,0.495386623403255,0.495386623403255
1,73.0,0.495299098988961,0.49539458525984237
2,72.0,0.495209143373191,0.4953964907987167
3,71.0,0.495116652279378,0.49539256346925886
4,70.0,0.495021515264268,0.49538300600912366
5,69.0,0.49492361525447,0.4953680013394079
6,68.0,0.494822828040615,0.49534771337340944
7,67.0,0.49471902172528,0.4953222877416115
8,66.0,0.494612056114813,0.49529185243491775
9,65.0,0.494501782062963,0.49525651836799983
10,64.0,0.494388040737346,0.49521637986380407
11,63.0,0.494270662823564,0.4951715150597969
12,62.0,0.494149467644617,0.49512198623622405
13,61.0,0.494024262192273,0.4950678400658505
14,60.0,0.493894840056645,0.49500910778414214
15,59.0,0.493760980242861,0.49494580527813276
16,58.0,0.49362244586096,0.49487793309155154
17,57.0,0.493478982671528,0.4948054763429481
18,56.0,0.493330317469463,0.4947284045526606
19,55.0,0.493176156284747,0.4946466713735155
20,54.0,0.493016182372094,0.4945602142189168
21,53.0,0.492850053968119,0.49446895378084094
22,52.0,0.492677401775476,0.4943727934287614
23,51.0,0.492497826135281,0.4942716184786126
24,50.0,0.49231089385053,0.4941652953192056
25,49.0,0.492116134604179,0.494053670381347
26,48.0,0.491913036900555,0.4939365689318254
27,47.0,0.491701043474712,0.4938137936715921
28,46.0,0.491479546064175,0.4936851231136712
29,45.0,0.491247879471996,0.4935503097123696
30,44.0,0.49100531474729,0.49340907770936676
31,43.0,0.490751051405808,0.4932611206566497
32,42.0,0.490484208456185,0.4931060985688462
33,41.0,0.490203814074889,0.492943634648306
34,40.0,0.489908793621058,0.492773311515092
35,39.0,0.489597955753186,0.4925946668612425
36,38.0,0.489269976188542,0.4924071884316646
37,37.0,0.488923378793644,0.492210308216154
38,36.0,0.488556513224489,0.49200339570957413
39,35.0,0.4881675286547,0.4917857500675848
40,34.0,0.487754342530328,0.49155659094783255
41,33.0,0.487314603420181,0.4913150477774245
42,32.0,0.486845646473946,0.4910601471274506
43,31.0,0.486344439820339,0.49079079779633816
44,30.0,0.485807519665291,0.4905057731058474
45,29.0,0.485230911235071,0.490203689784452
46,28.0,0.484610031908661,0.4898829826473729
47,27.0,0.483939571580552,0.4895418740610394
48,26.0,0.483213344105337,0.4891783368942105
49,25.0,0.482424101108814,0.48879004927133163
50,24.0,0.481563296978489,0.48837433892362203
51,23.0,0.480620789504324,0.4879281142306805
52,22.0,0.479584455075706,0.48744777807530715
53,21.0,0.478439689021738,0.4869291192874915
54,20.0,0.477168750206116,0.4863671745682274
55,19.0,0.475749891028065,0.48575605108855047
56,18.0,0.474156189129483,0.4850886960855392
57,17.0,0.472353957849829,0.48435659412442517
58,16.0,0.47030055398477,0.4835493643180274
59,15.0,0.467941310538803,0.4826542172333019
60,14.0,0.465205180473993,0.4816552121085882
61,13.0,0.46199845428849,0.4805322255913151
62,12.0,0.458195561382179,0.47925949747009755
63,11.0,0.453625409988255,0.47780354737262387
64,10.0,0.448050865953531,0.4761201449439865
65,9.0,0.441137726134398,0.47414984543987027
66,8.0,0.43240795483696,0.4718113537733381
67,7.0,0.421170574905689,0.4689916541619459
68,6.0,0.406424138962151,0.465531512571604
69,5.0,0.386729483313111,0.461204820388345
70,4.0,0.360053758794867,0.45569033642578927
71,3.0,0.323527780171187,0.4485326319443323
72,2.0,0.272690177686074,0.43907370536237394
73,1.0,0.197745058650064,0.426245052181185
74,0.5,0.141187721878248,0.4180661497751419
75,0.1,0.063516469443982,0.409996558841477
